	gamma_T0vT12	gamma_T0vT12	gamma_T0vT12	gamma_T0vT12	gamma_T0vT18	gamma_T0vT18	gamma_T0vT18	gamma_T0vT18
LH00089	5.476705378	1.817307232	4.075968671		4.550163509	2.518398251	3.884375567	
LH00097	1.483010853	1.557472228	1.630100928		2.653079463	2.472731418	2.061649861	
LH00098	0.116289851	0.041228837	0.052476429		0.027946007	0.156571093	0.159387441	
LH00102	0.055792252	0.25394658	0.134177947		0.013749026	0.001705194	0.010524262	
LH00103	0.0371533	0.168477309	0.084262907		0.168692151	0.08885982	0.004774757	
LH00104	0.77298881	0.17308134	0.41403034		0.453596297	1.289033525	2.122066063	
LH00105	0.100287663	0.888824164	0.008939733		0.193845824	0.387887668	0.120758333	
LH00107	0.070246402	0.011218239	0.071479943		0.129905564	0.027250577	0.039461218	
LH00108	0.035941243	0.026856015	0.008043365		0.121564642	0.485630267	0.288268362	
LH00109	3.448062617	4.476186805	4.907133272		4.497572973	10.92672715	10.04800159	lncRNA hit
LH00112	0.076006993	1.639683469	0.366637921		0.104712534	2.912234124	1.49959755	
LH00116	0.365523911	0.155332843	0.000105553		1.619239343	0.123145575	0.782493359	
LH00117	0.064800548	0.349750673	0.335422247		0.990884042	3.586581156	2.119812614	
LH00118	0.229558916	0.091027242	0.084258379		0.05527246	0.094442689	0.11287672	
LH00123	23.8662216	19.75178384	25.71629741	Neighbor hit	33.76775618	30.31679239	36.65107897	Neighbor hit
LH00127	0.825576298	1.319087886	1.12476815		2.735438948	0.119768235	1.630779862	
LH00132	0.061755863	0.001850442	0.004939854		2.708206495	1.465591245	2.422561753	
LH00133	0.183503161	0.376751068	0.752586923		1.121305873	0.146024503	0.833645325	
LH00134	0.070251958	0.323127173	0.048967017		0.173265853	0.019132495	0.026104957	
LH00138	0.047163467	0.053040475	0.07238241		0.066284688	0.064624864	0.066387112	
LH00139	2.037351806	1.227803957	3.348713156		0.142965084	0.374111013	0.272962471	
LH00147	0.141872699	0.096347672	0.148370435		0.013025891	0.642265612	0.082206378	
LH00149	0.034291924	3.389666461	2.781278973		0.335404922	1.591076174	0.86997586	
LH00150	0.431227277	0.494609558	1.004570411		3.554869459	3.898304021	5.119921346	
LH00151	0.906759269	0.006813207	0.14301315		2.09119201	0.200904877	0.7150603	
LH00152	2.802765557	2.857557042	3.393070344		5.206074124	3.932846571	5.83993329	
LH00153	0.985409417	2.534134217	1.849377242		0.673972271	0.038515819	0.226477122	
LH00154	0.282520414	0.104096574	0.257471033		0.152274692	0.000630056	0.05456133	
LH00162	3.594642313	5.417127114	5.241741742		4.77447911	6.377590167	6.288678797	
LH00165	0.175648905	0.192623361	0.020723608		0.042611721	4.290535556	0.505910361	
LH00171	80.38151526	81.97604471	94.68610968	Neighbor hit	86.33355185	59.963928	83.53239861	Neighbor hit
LH00173	14.54944556	16.64392736	17.51992027	lncRNA hit	24.63650738	37.03582785	27.33623317	lncRNA hit
LH00174	0.095075394	0.009374495	0.007041179		0.046322905	0.024636369	0.010731247	
LH00176	0.358401611	1.984991721	1.502941148		0.261005356	2.972465852	0.200022266	
LH00177	2.04112723	0.14250337	1.131698726		0.559393744	0.20520348	0.010363688	
LH00179	4.101905792	0.671049705	2.32594428		7.536969844	6.111383329	7.877347589	lncRNA hit
LH00184	0.01006723	0.272222479	0.330039035		0.014042432	2.4309384	1.473487755	
LH00185	15.68197865	23.25648547	24.44480355	lncRNA hit	19.95377195	26.04218384	28.14867177	lncRNA hit
LH00192	0.121170787	0.122602623	0.165614276		0.481906743	0.013283151	0.133953599	
LH00193	0.52987401	0.014776139	0.108962116		0.299810981	0.094205633	0.27182653	
LH00194	0.148786406	0.059012035	0.120575019		0.314643535	0.034334167	0.18039978	
LH00195	1.624094333	0.288101612	0.782847564		1.339653676	1.801177114	2.186935609	
LH00196	1.440632029	0.347225319	1.021911359		0.378103702	1.664988771	1.349692408	
LH00204	1.860100544	0.093736892	0.319647959		0.570307175	0.256510098	0.015135484	
LH00206	0.248204605	0.021032494	0.130787902		0.094085241	0.109129038	0.086346722	
LH00209	0.056535913	0.480917346	0.299659702		0.023624523	0.674945871	0.231521108	
LH00213	2.001171452	1.52553515	2.323858639		3.673529263	2.280515907	4.053053418	
LH00214	0.139375339	0.275442951	0.31637364		3.046388601	0.544162973	2.141136862	
LH00216	0.149195644	0.103112968	0.197223859		0.054366817	0.025653646	0.033520788	
LH00217	3.998107137	10.76529788	9.09101775	lncRNA hit	4.111107394	8.925006072	9.328297465	lncRNA hit
LH00218	0.569295104	0.377774278	0.703847978		0.589870455	0.232894685	0.526229192	
LH00220	0.542252789	0.029872828	0.125421127		1.207891764	1.792543853	1.689615504	
LH00221	0.153170969	0.009854804	0.047373306		0.151853097	0.009902436	0.073647529	
LH00222	0.623066347	4.233461279	3.047175089		2.653795628	6.511018786	5.585957792	
LH00224	0.12669223	1.220438366	0.810335802		0.003050219	0.024122748	0.056002972	
LH00226	0.008289959	1.691435088	0.624096289		0.042498179	0.753557971	0.521883253	
LH00232	2.704386731	0.075209497	1.270045718		1.629178843	0.038256691	0.806300089	
LH00242	1.002994792	0.720495964	1.138946842		0.953206383	0.951985122	1.205628364	
LH00243	0.053738129	0.313326585	0.180692893		0.113924195	0.089319388	0.137814578	
LH00244	0.901238991	0.165999482	0.822500531		2.347093642	2.120846024	2.868431161	
LH00245	0.216019626	0.362612362	0.221585779		1.757428339	0.00995668	0.38128593	
LH00246	0.093998037	0.002815353	0.028527472		0.416784998	1.761160644	0.638281666	
LH00248	0.473229116	0.158033192	0.376228244		1.622855247	1.349206494	2.078418382	
LH00251	0.702291393	0.295217504	0.737233665		2.464461094	2.262513101	3.035907165	
LH00253	0.281722232	1.474911937	0.826398632		0.896104102	0.304099782	0.714687121	
LH00254	0.063869101	0.02504735	0.045404903		0.407136015	1.514830306	0.816688428	
LH00259	0.592451368	0.017028562	0.259287445		0.418776037	0.491175089	0.443300222	
LH00265	2.441265543	3.034459926	3.427176583		1.60408338	0.817731524	1.218476783	
LH00276	0.09776998	0.136447566	0.179665254		0.264555265	0.454275053	0.352668218	
LH00281	1.448485338	0.013796601	0.714974564		2.091002301	0.216802092	1.530406723	
LH00284	5.014182704	12.57040523	12.79511592	lncRNA hit	0.669578753	5.878896695	3.3204872	
LH00286	0.282033317	0.035585013	0.360584801		0.559851546	0.821659717	1.102694693	
LH00288	0.055423291	0.937017046	0.053191686		0.068382801	1.837180892	0.223418961	
LH00289	1.024892793	2.351762611	2.719404798		0.614764274	0.629253762	0.900107588	
LH00296	1.243533326	0.212305627	0.471872587		0.276680655	0.933923188	0.796108582	
LH00299	5.017204008	3.768702175	5.393717273		7.088331595	4.521358114	6.512376299	
LH00300	0.366677176	0.727546824	0.696201273		0.934430055	1.674794249	1.577731205	
LH00304	1.120193099	0.561885327	2.128678526		0.85428425	3.843557948	1.914316981	
LH00305	0.20088924	0.009406996	0.14473614		1.141613081	0.245824768	0.978231054	
LH00306	0.234270785	0.421500794	0.784185868		0.12416631	0.156694657	0.552928833	
LH00307	0.387728968	0.57144917	0.398901736		3.222053468	3.690658796	4.042959176	
LH00308	0.042505732	0.037362389	0.029008954		0.004612715	0.914620954	0.561709425	
LH00309	0.046377366	0.025745569	0.081270229		0.028567907	0.008460208	0.001333831	
LH00310	4.852832454	1.79369253	0.559741849		0.141631544	2.107727224	1.00035003	
LH00311	0.023953037	0.442553233	0.066057081		0.045886287	1.268884875	0.590774339	
LH00313	0.045782443	0.0905816	0.010421899		0.015128915	0.033282756	0.007862515	
LH00316	1.121133648	0.10660082	0.074094579		1.198417756	0.866258074	1.183161105	
LH00320	3.247887382	1.699931103	2.846794426		3.471318522	1.860918952	3.360165926	
LH00323	0.221269946	1.328958257	0.119654349		0.003718925	1.923346233	0.331906953	
LH00330	0.549033468	0.474097495	0.615763803		0.988328606	0.395736678	1.377499843	
LH00331	1.232610578	13.61324092	4.086316868		4.019812245	10.84963199	8.48600252	lncRNA hit
LH00335	0.046822619	1.384956584	0.475105321		0.00377974	0.102796625	0.026829432	
LH00339	1.10446212	0.937319513	1.191851331		2.680695547	3.526605923	3.748708479	
LH00340	0.011185708	0.010619616	0.108113284		1.114564911	0.083872366	0.680136258	
LH00342	0.001596486	0.053078129	0.015875258		0.070218848	0.137812	0.017573732	
LH00343	2.106371545	1.740174112	2.323737743		1.100062196	2.719052539	2.26632185	
LH00345	1.23003458	0.323392833	0.049485235		1.445154464	0.867504355	1.209485412	
LH00347	0.024656227	0.01290926	0.00799366		0.984639162	0.680256139	0.964504955	
LH00354	0.113196182	1.733823226	0.61585322		0.61700515	0.996457091	0.996269862	
LH00359	0.132512612	0.08644232	0.276536545		0.704531197	0.001408026	0.282118114	
LH00360	1.629411444	0.130101351	1.011747833		0.303230244	0.016388919	0.172419879	
LH00366	0.384281172	0.637953312	0.447890281		3.699533946	2.455547131	3.790785106	
LH00367	0.025529598	0.000673829	0.028288821		0.003211649	0.026909192	0.038756278	
LH00368	21.85029482	13.99914226	21.74637292	lncRNA hit	18.92526699	17.67801	23.47405424	lncRNA hit
LH00370	16.3263374	20.22124519	21.22907233	Neighbor hit	77.16169084	79.30682622	85.58341339	Neighbor hit
LH00372	0.023456587	0.026200284	0.021617243		0.02728072	0.318920171	0.061471926	
LH00386	0.137053969	1.703387669	1.00880193		1.273402806	4.727082074	3.419648166	
LH00389	0.485728943	0.526703604	0.19785994		0.072210271	1.819924058	0.523559231	
LH00391	0.233200463	8.464518504	5.938216421		2.488436874	11.23867548	12.40172014	lncRNA hit
LH00394	0.015603001	0.015928865	0.038875401		0.139165526	0.127833151	0.011067275	
LH00395	69.78891268	96.28239926	78.54262816	lncRNA hit	130.503436	119.4818575	130.0391961	lncRNA hit
LH00399	1.304391659	2.555144907	2.461117543		1.827917465	3.855523972	2.763533294	
LH00400	3.694459466	0.013938379	0.500530491		4.133691424	0.592604429	1.676290572	
LH00401	0.137404254	1.02732932	0.126360545		5.328622048	3.220150697	6.834253624	
LH00404	5.434573053	0.456563819	1.655828353		2.781042737	1.04293655	1.136922109	
LH00405	3.253959611	0.23753415	2.00339138		4.375516009	1.100178281	3.385756171	
LH00407	0.469898729	3.641108363	2.481643198		0.633288677	4.743243729	2.170750429	
LH00410	0.306252686	0.022959561	0.127189538		0.053113707	0.204037377	0.012116994	
LH00414	0.519389231	0.258324831	0.045222266		0.57619636	0.071895385	0.009498285	
LH00415	0.874971095	0.359845143	0.147147959		1.476226711	2.382417541	1.447408168	
LH00427	0.139250577	0.771260708	0.059120592		0.073296015	0.00183038	0.175107494	
LH00429	0.339901911	1.228254114	1.244118978		0.031745758	0.182356374	0.007911953	
LH00430	58.12824038	58.12582163	66.65219057	Neighbor hit	65.49088387	89.67996508	85.2616842	Neighbor hit
LH00437	0.786124265	1.620153336	1.304090144		0.79126249	3.364801975	2.791271455	
LH00438	0.058889668	0.000991638	0.018178022		0.167034608	0.043982551	0.016329197	
LH00439	0.041714137	0.241948154	0.064634897		0.188321218	0.005044634	0.11001778	
LH00441	1.370632693	2.397144764	2.211094268		5.2047715	5.028931742	5.683889504	
LH00460	0.017059914	1.023782208	0.465242846		0.02258783	0.050975115	0.118223594	
LH00462	77.99635667	112.2414937	99.84007931	Neighbor hit	72.10880386	102.8986463	95.04046895	Neighbor hit
LH00463	1.746035172	0.048523379	0.247060515		0.623202474	0.10037556	0.361727515	
LH00465	0.33986139	1.901848231	1.077979893		1.823834999	2.858684303	3.004800175	
LH00468	0.246065632	0.272911335	0.012302317		0.743374289	0.11050339	0.086538238	
LH00473	0.532183143	0.077350906	0.215992687		1.123752909	0.334965592	0.99076404	
LH00477	0.905923954	0.329504679	0.199141726		0.199898738	1.726540887	1.425844495	
LH00478	0.349540237	0.807193806	0.383916307		2.262635199	1.283079392	2.178454535	
LH00479	0.246323216	0.071035995	0.042468661		0.405990045	0.128900644	0.087825192	
LH00483	0.234544236	0.538598312	0.51092922		0.374535142	2.480064353	1.561044842	
LH00487	0.063144159	4.088998256	1.20073001		1.009840748	14.53148963	5.36100791	
LH00491	8.169556615	14.02008474	14.13098392	lncRNA hit	11.01661882	14.73015473	18.32546541	lncRNA hit
LH00492	1.621356408	0.265895257	0.422788816		4.752718275	0.699280067	3.06753454	
LH00494	16.12088316	6.954261781	13.54814736	lncRNA hit	17.60336784	10.10981658	16.915046	lncRNA hit
LH00495	0.013874499	0.504483777	0.16923738		0.012150935	0.061687722	0.030733476	
LH00497	0.027990762	0.469951676	0.456582802		1.388260501	0.585238571	1.31663668	
LH00498	0.242820924	0.222316476	0.025175771		0.027946349	0.721120682	0.458001526	
LH00499	3.59470388	2.69473555	4.480057911		4.056051593	2.050201796	3.880164092	
LH00500	4.11246481	1.906094824	3.526403675		6.139343132	5.00299635	6.975630314	
LH00503	0.088507189	0.121103356	0.030990091		0.36305703	2.236796976	1.634995264	
LH00504	29.24173185	22.31489988	32.59722137	lncRNA hit	34.7095742	39.24552938	46.74635817	lncRNA hit
LH00507	0.112047676	0.014751752	0.031518198		0.441530377	0.004215358	0.148445452	
LH00508	1.57720544	0.757354065	1.336736		4.505290267	0.211689662	1.719224309	
LH00509	1.243232799	0.115739726	0.870434301		2.133324509	0.116983091	1.375303992	
LH00511	1.039725604	0.090738979	0.250141045		0.511975481	0.17221458	0.352755515	
LH00512	0.997593346	0.330573939	0.022158181		1.235067037	0.138302255	0.394178572	
LH00520	0.542521083	1.959918904	1.757197504		0.019672536	0.007413594	0.003084268	
LH00521	0.031298494	0.01505434	0.006971244		0.528809048	0.013642983	0.057102639	
LH00522	0.303306754	0.204082863	0.077532177		0.013190667	2.929341371	1.192225293	
LH00525	0.132559614	2.020518508	0.229678729		0.005546114	0.007319832	0.017812709	
LH00527	0.342984183	0.246529748	0.301106506		0.601114362	0.037205652	0.449575257	
LH00530	0.297642112	0.096584969	0.137779903		0.232521588	1.328601333	0.111157616	
LH00533	0.692702613	1.419087058	0.014093384		0.131164469	2.075369158	0.317505327	
LH00539	1.582217771	0.860922168	2.327002275		1.097259437	0.362021653	1.102794356	
LH00544	1.133908639	0.775116192	0.456225916		2.671571123	1.872112991	1.843254367	
LH00545	0.923351965	2.386390738	0.370063812		0.727278895	1.754103891	1.26098708	
LH00547	0.222369991	0.001491874	0.103326614		0.483095546	0.025579596	0.140458587	
LH00556	0.032283558	0.008756736	0.007683577		0.048030496	0.005066836	0.059310375	
LH00557	0.138496718	0.218239728	0.023959967		0.033166502	1.090710695	0.376961586	
LH00559	3.423656214	6.299761325	6.349024876		0.889847847	4.580541587	2.799102879	
LH00574	0.032893582	0.037826037	0.004612711		0.336504049	0.075548471	0.534859436	
LH00580	0.319908099	2.279947772	1.024671962		1.448629903	1.86032292	1.961738121	
LH00581	1.026456824	0.691218037	0.930671855		1.269306896	1.546575092	1.73414447	
LH00588	3.477175629	2.22070731	3.325103083		18.72450152	17.68504858	22.62598601	lncRNA hit
LH00593	0.722495655	0.201688739	0.006448728		0.143146579	0.063502932	0.027365549	
LH00595	0.060477505	0.042843104	0.026444254		0.410551714	0.005354497	0.154081938	
LH00611	0.147901308	0.103759686	0.097098089		0.157390224	0.253379871	0.098680568	
LH00612	0.168041416	0.131267515	0.008476009		1.595636298	0.676136929	1.288669414	
LH00614	4.179844672	8.514536763	6.555325056		8.62729722	21.65904424	17.88813954	lncRNA hit
LH00615	2.821842756	5.332152355	3.560511678		6.871206562	11.17495581	9.251665476	lncRNA hit
LH00616	8.419022114	8.299700137	9.82342829	lncRNA hit	13.97001631	13.48840732	15.7473086	lncRNA hit
LH00618	5.449527219	5.929480363	9.175809842	lncRNA hit	6.596401624	6.675771516	7.962793707	lncRNA hit
LH00628	0.006643431	1.621655665	0.209141638		0.440915025	1.494043146	0.577071882	
LH00629	4.129273332	2.079543878	4.053757301		1.909748048	2.118695433	2.518776858	
LH00630	0.084701582	0.077889268	0.038892213		0.057498066	0.05949742	0.00564492	
LH00631	0.142725218	0.293313571	0.432141621		0.008825899	0.164544899	0.007329031	
LH00632	0.240740788	0.026200472	0.085216352		0.068317518	0.789672238	0.286685786	
LH00637	0.126915356	0.382959713	0.413241381		0.31610152	0.427926983	0.759975297	
LH00644	0.90701002	0.697082885	0.918812167		1.370686828	1.787270557	2.202699726	
LH00646	1.618515959	9.865560386	5.456464304		2.582987108	5.035827169	4.10394331	
LH00647	2.888332653	0.005988753	1.04150131		2.781186305	1.39709132	2.750974965	
LH00649	1.248923411	9.253453997	6.658140459		5.214689346	13.69381666	10.24176655	lncRNA hit
LH00657	0.823719314	0.518462352	0.763957516		0.952348314	0.399522082	1.341948026	
LH00658	0.591494975	0.088259225	0.115684361		0.013145114	0.317865988	0.445155225	
LH00659	0.269113013	0.059046048	0.03818467		0.658782609	0.113911406	0.54523334	
LH00660	0.124944857	0.061946342	0.153916246		0.165408403	0.001573006	0.050005207	
LH00661	0.486396928	0.115205864	0.02431768		0.136472296	1.033916898	0.407437629	
LH00662	0.446670773	0.215068864	0.353019677		0.085252546	0.068482167	0.110283743	
LH00666	1.929181281	1.259642414	1.248488398		0.081086569	3.480952174	0.936970972	
LH00668	2.2454808	1.465828564	2.304348292		3.803268914	2.744346034	3.640035453	
LH00670	0.022488097	12.1461304	4.857091213		3.454692521	14.0332451	8.929439234	lncRNA hit
LH00671	0.493883105	5.392117946	2.684646509		2.709061653	4.093660241	3.69735178	
LH00672	2.265149206	4.470317071	4.10317413		5.43737754	9.804607728	8.62231051	lncRNA hit
LH00673	49.31144377	64.87519222	61.18834123	lncRNA hit	48.57364756	80.19319644	73.01687559	lncRNA hit
LH00676	0.119773782	0.043059848	0.002106532		0.824560103	0.120536638	0.545075791	
LH00686	0.016214948	0.299254294	0.039976638		0.000214438	0.095354582	0.061548827	
LH00687	1.267650508	1.733051209	0.267003275		0.876120888	1.029468273	1.593200059	
LH00690	0.25962139	0.753796739	0.532662684		2.844125818	2.866851379	3.418394165	
LH00694	0.274960316	1.660516903	0.978856529		5.578586015	5.05246254	7.384426499	lncRNA hit
LH00695	1.486940587	0.120282028	0.087511553		2.00724146	0.19218548	1.263790809	
LH00696	0.20659995	3.149934126	2.026662051		1.336729881	2.940346784	2.877090516	
LH00713	4.284419012	0.006417086	0.813978804		1.786103311	0.503190684	0.814500869	
LH00717	0.042388913	0.05482014	0.058966459		0.006816836	0.008969681	0.007998038	
LH00719	0.847349633	0.009504262	0.122956986		1.695857417	0.866596451	1.437108015	
LH00729	1.241558557	0.913126178	1.737376872		3.541567295	3.215509436	5.650213698	
LH00731	0.540332003	0.075966627	0.092583379		0.30768862	0.812312181	0.169147036	
LH00741	7.464766968	12.39749825	10.99854202	lncRNA hit	11.11789757	20.51731518	17.94835321	lncRNA hit
LH00742	0.085774135	0.077090041	0.056380631		0.082999396	0.058416748	0.055608044	
LH00750	0.60951401	0.018993039	0.260895138		2.451769785	1.140218168	2.090079993	
LH00752	1.362653133	0.012501848	0.638238211		6.324547669	2.842537379	5.583662734	
LH00753	0.815308055	0.245387138	0.728913932		8.411359208	2.20927265	7.073056074	lncRNA hit
LH00754	0.692261375	0.017411892	0.21400024		0.365240022	0.25594565	0.280938741	
LH00755	0.146115427	0.090492485	0.094680273		0.241670123	0.446974315	0.446545144	
LH00756	0.023503637	1.304832535	0.368470324		0.298054373	0.859008707	0.522963936	
LH00757	0.454508732	2.014903778	1.582188915		0.271156011	1.798285644	1.41434783	
LH00758	0.614302282	0.320935948	0.516257915		0.005442393	0.01615379	0.011786326	
LH00760	0.837535666	0.131319856	1.072867232		0.013755472	0.039085261	0.003810778	
LH00761	0.022800453	0.956228015	0.464733362		0.627625227	3.408308935	2.557676686	
LH00762	2.830777355	0.028050768	1.12013357		3.725848385	0.00438616	1.439870089	
LH00763	0.099728265	4.975209166	1.393630393		0.212193576	1.890992541	1.572433234	
LH00771	5.953054376	4.764849941	6.21354962		19.82369371	11.60225206	20.04947245	lncRNA hit
LH00776	0.083634964	0.009269788	0.151660112		0.474340469	0.393929476	0.694378908	
LH00778	0.516803701	0.171807769	0.473396996		1.738995565	0.282688276	1.035248607	
LH00789	0.125259568	0.24326886	0.221535129		0.882200328	1.069723198	1.188960801	
LH00791	1.35147034	0.318593715	0.194623432		0.022741145	0.211176103	0.245229982	
LH00792	0.280662254	1.163223558	1.21953606		3.859077455	0.53767048	3.169080487	
LH00793	4.999912128	0.012240071	1.424575817		0.501320942	0.120910861	0.035379711	
LH00795	9.962323922	11.32193143	15.00900852	lncRNA hit	2.399660099	16.24197138	8.894630055	lncRNA hit
LH00796	2.213160456	2.140259175	0.681873415		0.195400482	4.090268483	1.30365034	
LH00799	1.774028191	5.358725619	4.577447279		3.824094538	3.233481268	3.279402762	
LH00810	2.042128691	0.73202577	1.703036693		2.924754027	6.516948817	4.954946121	
LH00817	0.745612053	0.082569538	0.305751007		1.069219727	0.002341484	0.101300936	
LH00821	1.778231093	0.125185546	0.875583025		0.325678278	0.86410944	0.569719006	
LH00823	38.64705479	31.23320742	42.47461743	Neighbor hit	43.1731589	44.66262929	44.30157206	Neighbor hit
LH00827	0.560473363	0.213011417	0.202694115		0.006702059	0.990198817	0.212690058	
LH00828	0.148629094	1.933942466	0.629711392		0.888007237	2.109929209	1.603688794	
LH00829	0.007422718	0.015998571	0.017453081		0.010165828	0.101256989	0.002200379	
LH00830	0.002955901	0.465427888	0.423415344		0.015362634	0.263519394	0.024331122	
LH00831	0.090951782	0.585971822	0.512455124		0.025666694	0.438222392	0.259593208	
LH00832	0.321638865	0.003450033	0.032545262		1.255276625	0.071664358	0.606898032	
LH00833	0.128562187	0.564411269	0.243363673		0.134431149	0.17696677	0.069103981	
LH00834	0.214857976	0.062923127	0.275346422		0.445351029	1.02033669	0.570624608	
LH00837	0.678755094	0.03806366	0.146903641		0.146324024	0.21483222	0.092023646	
LH00839	0.323873187	0.189727254	0.044454156		0.057045708	1.623674279	0.796607426	
LH00840	0.015503553	0.32295749	0.109600931		0.060023244	0.661148038	0.534481784	
LH00841	0.38624752	2.724433961	1.521459392		0.235496957	3.593736911	1.906573797	
LH00842	0.050535558	6.199517368	2.505754569		0.620452074	6.246584271	4.027231455	
LH00843	0.005732804	0.165020704	0.006456478		0.021028208	0.14090249	0.086440893	
LH00844	2.742623139	3.762205396	3.950527025		0.861510206	0.705365528	1.166237199	
LH00845	0.020548453	0.006722553	0.006980309		0.033868655	0.25703496	0.012244061	
LH00856	0.026004876	0.294695017	0.212705389		0.285677127	0.145863952	0.750584877	
LH00861	0.842922322	0.323865144	0.772795943		0.185774464	0.066719813	0.09523628	
LH00867	0.097416743	0.403691237	0.214070184		0.014345555	0.181716948	0.203833108	
LH00868	0.011562266	0.013722673	0.032022766		0.038627894	0.086902521	0.0199151	
LH00870	0.014492822	0.252185823	0.053311498		0.108490583	0.098739319	0.200459939	
LH00871	0.54169829	0.383245486	0.685418599		0.155013457	1.954310386	0.487356427	
LH00872	0.991141943	0.450829851	1.076926169		0.143792358	0.959378621	0.089031059	
LH00879	0.596664857	0.584217259	0.626224058		1.282319459	0.398938635	0.838720319	
LH00881	1.414458931	0.348590243	1.358057168		0.139281724	0.379853834	0.553529263	
LH00882	0.12160701	0.533839251	0.356632054		0.085585579	0.921951031	0.037747606	
LH00886	8.214319486	14.87595199	13.55666373	lncRNA hit	6.965494075	9.373659099	9.485180958	lncRNA hit
LH00889	1.30847499	1.05811717	0.084964017		3.686797778	2.156890717	2.976027038	
LH00891	0.344371823	0.00108701	0.532387149		0.511026765	0.080076714	0.460455154	
LH00892	1.342753515	2.04169788	1.839939975		1.652035139	1.58012739	1.676866611	
LH00893	0.007526133	0.273065535	0.191566796		0.051368529	0.002705102	0.093965011	
LH00894	0.176960469	1.122661362	0.773841171		0.036087491	0.158127756	0.106586783	
LH00900	0.291421068	0.054363313	0.298362469		0.302199546	0.313927209	0.420811707	
LH00902	0.022824202	0.014356149	0.073598825		0.166562277	0.078260695	0.010165543	
LH00904	0.045961048	0.008823749	0.02738342		1.063329855	0.136833862	0.076943989	
LH00906	0.091274107	0.001357067	0.012273594		0.008086805	0.000397666	0.004144369	
LH00909	0.065241139	0.273522726	0.225416863		0.23712608	0.781021376	0.936188946	
LH00910	0.516882254	0.124745554	0.629408606		1.708414297	1.226553233	1.948549418	
LH00915	0.023453647	0.129007937	0.010138672		0.08684032	0.125371581	0.323764549	
LH00918	6.683052853	7.957870493	10.19920008	lncRNA hit	7.438057978	8.525613363	10.57697881	lncRNA hit
LH00920	0.72319662	3.788947664	2.768572525		2.811409674	10.25661705	9.259031225	lncRNA hit
LH00921	0.854036377	0.140609411	0.890934587		1.309937139	2.624857387	2.586728332	
LH00926	0.352433401	0.055325559	0.026960534		0.132622464	0.033500638	0.219514569	
LH00928	0.275683857	0.039552801	0.004523383		1.708491723	1.455983387	2.242644824	
LH00930	3.527037466	5.672909632	6.571962548		10.94005908	7.315746349	10.42635205	lncRNA hit
LH00931	0.058483352	0.401499915	0.223070879		0.16922464	0.044724861	0.072494821	
LH00932	0.003600413	0.025251025	0.009373443		0.186520489	0.022357913	0.035757129	
LH00934	0.237431077	0.482841099	0.267419326		0.405833925	0.327896438	0.296636686	
LH00935	0.098070808	0.020762223	0.104888395		0.179637067	0.040201032	0.007125057	
LH00936	137.0277966	137.7674709	144.8436458	Neighbor hit	138.6063606	157.1265579	145.7060162	Neighbor hit
LH00937	0.020556282	0.015211495	0.000474144		0.471698102	0.03337624	0.257117678	
LH00938	35.47936181	44.80944988	46.01922816	lncRNA hit	52.73401143	71.80031834	67.20285936	lncRNA hit
LH00939	1.625685502	1.679746338	2.105984997		3.753296853	4.10488942	4.982465476	
