NC_000014.9:+:61570538	ENST00000229465.10_1
NC_000014.9:+:70223775	ENST00000554008.5_1
NC_000014.9:+:23356406	ENST00000554010.1_1
NC_000014.9:-:38004846	ENST00000554029.1_1
NC_000014.9:+:70810161	ENST00000554032.1_1
NC_000014.9:-:23954170	ENST00000554036.1_1
NC_000014.9:+:52640994	ENST00000554055.1_1
NC_000014.9:-:76786641	ENST00000554058.1_1
NC_000014.9:+:89576216	ENST00000554071.1_1
NC_000014.9:+:91242935	ENST00000554096.2_1
NC_000014.9:-:57068541	ENST00000554160.1_1
NC_000014.9:-:95534243	ENST00000554169.1_1
NC_000014.9:-:22766555	ENST00000554194.1_1
NC_000014.9:-:81623082	ENST00000554211.1_1
NC_000014.9:-:55796687	ENST00000554221.5_1
NC_000014.9:+:76235817	ENST00000554225.1_1
NC_000014.9:-:100074876	ENST00000554245.1_1
NC_000014.9:-:61751097	ENST00000554254.1_1
NC_000014.9:+:97458842	ENST00000554260.1_1
NC_000014.9:-:20706940	ENST00000554286.1_1
NC_000014.9:-:87872366	ENST00000554305.5_1
NC_000014.9:-:79974168	ENST00000554307.1_1
NC_000014.9:-:58298114	ENST00000554309.1_1
NC_000014.9:+:39474839	ENST00000554328.5_1
NC_000014.9:+:56813324	ENST00000554358.1_1
NC_000014.9:-:58298114	ENST00000554360.5_1
NC_000014.9:-:44897062	ENST00000554389.1_1
NC_000014.9:+:23513348	ENST00000554403.1_1
NC_000014.9:+:51333511	ENST00000554409.1_1
NC_000014.9:+:56813229	ENST00000554428.1_1
NC_000014.9:-:87816394	ENST00000554519.1_1
NC_000014.9:-:74295017	ENST00000554532.2_1
NC_000014.9:-:100238620	ENST00000554537.1_1
NC_000014.9:-:52820033	ENST00000554548.1_1
NC_000014.9:-:55580109	ENST00000554558.5_1
NC_000014.9:-:73245976	ENST00000554614.2_1
NC_000014.9:+:95157686	ENST00000554631.2_1
NC_000014.9:-:71311358	ENST00000554634.1_1
NC_000014.9:+:100826117	ENST00000554639.5_1
NC_000014.9:+:86070754	ENST00000554647.1_1
NC_000014.9:-:30822701	ENST00000554665.1_1
NC_000014.9:-:38194280	ENST00000554687.1_1
NC_000014.9:-:101560391	ENST00000554694.1_1
NC_000014.9:-:45715539	ENST00000554711.5_1
NC_000014.9:+:56813324	ENST00000554725.1_1
NC_000014.9:-:22766555	ENST00000554730.1_1
NC_000014.9:-:101560391	ENST00000554735.1_1
NC_000014.9:-:73059452	ENST00000554737.2_1
NC_000014.9:-:79249022	ENST00000554759.1_1
NC_000014.9:+:37564194	ENST00000554829.1_1
NC_000014.9:-:101810320	ENST00000554859.1_1
NC_000014.9:-:66004522	ENST00000554907.1_1
NC_000014.9:-:64540364	ENST00000554918.1_1
NC_000014.9:-:76726710	ENST00000554926.1_1
NC_000014.9:-:20343408	ENST00000554988.1_1
NC_000014.9:-:81450167	ENST00000555001.1_1
NC_000014.9:-:73633810	ENST00000555011.2_1
NC_000014.9:-:58298114	ENST00000555037.1_1
NC_000014.9:-:23954170	ENST00000555045.1_1
NC_000014.9:+:75267479	ENST00000555106.1_1
NC_000014.9:-:30889672	ENST00000555108.1_1
NC_000014.9:+:24501594	ENST00000555109.1_1
NC_000014.9:+:82642621	ENST00000555150.5_1
NC_000014.9:-:44912163	ENST00000555157.1_1
NC_000014.9:-:58268861	ENST00000555162.1_1
NC_000014.9:-:101560391	ENST00000555174.5_1
NC_000014.9:+:70223775	ENST00000555198.1_1
NC_000014.9:+:100263738	ENST00000555212.1_1
NC_000014.9:+:45940943	ENST00000555246.5_1
NC_000014.9:+:50448790	ENST00000555257.1_1
NC_000014.9:-:58298114	ENST00000555275.5_1
NC_000014.9:+:22982899	ENST00000555294.1_1
NC_000014.9:+:24595848	ENST00000555300.1_1
NC_000014.9:-:72595124	ENST00000555303.1_1
NC_000014.9:+:101257313	ENST00000555328.1_1
NC_000014.9:-:38091157	ENST00000555342.1_1
NC_000014.9:-:66496339	ENST00000555377.1_1
NC_000014.9:-:21205339	ENST00000555379.1_1
NC_000014.9:+:89350286	ENST00000555407.1_1
NC_000014.9:-:30885457	ENST00000555421.1_1
NC_000014.9:+:100291118	ENST00000555428.1_1
NC_000014.9:+:20451305	ENST00000555435.1_1
NC_000014.9:-:45715970	ENST00000555442.1_1
NC_000014.9:+:22418212	ENST00000555460.2_1
NC_000014.9:-:76310206	ENST00000555465.1_1
NC_000014.9:+:70187125	ENST00000555480.5_1
NC_000014.9:+:87251103	ENST00000555490.1_1
NC_000014.9:-:77076188	ENST00000555512.1_1
NC_000014.9:-:73830109	ENST00000555539.1_1
NC_000014.9:+:104821201	ENST00000555578.1_1
NC_000014.9:+:71848606	ENST00000555581.1_1
NC_000014.9:+:57578364	ENST00000555600.1_1
NC_000014.9:-:55199012	ENST00000555643.1_1
NC_000014.9:+:38190982	ENST00000555655.1_1
NC_000014.9:-:21206636	ENST00000555688.1_1
NC_000014.9:+:52776352	ENST00000555689.1_1
NC_000014.9:-:48491766	ENST00000555693.1_1
NC_000014.9:-:58298114	ENST00000555707.5_1
NC_000014.9:-:65302706	ENST00000555736.1_1
NC_000014.9:-:71321847	ENST00000555771.2_1
NC_000014.9:+:82642621	ENST00000555798.1_1
NC_000014.9:+:51360975	ENST00000555801.1_1
NC_000014.9:-:90405205	ENST00000555853.1_1
NC_000014.9:-:64336568	ENST00000555861.1_1
NC_000014.9:-:95534623	ENST00000555866.5_1
NC_000014.9:-:97789255	ENST00000555889.1_1
NC_000014.9:-:73938010	ENST00000555916.1_1
NC_000014.9:+:61734209	ENST00000555937.1_1
NC_000014.9:-:103880110	ENST00000555967.1_1
NC_000014.9:+:52774610	ENST00000555969.1_1
NC_000014.9:-:90828163	ENST00000555975.1_1
NC_000014.9:-:47795013	ENST00000555985.5_1
NC_000014.9:-:58298114	ENST00000556002.5_1
NC_000014.9:-:36176528	ENST00000556013.2_1
NC_000014.9:-:37567071	ENST00000556024.1_1
NC_000014.9:+:88024592	ENST00000556033.5_1
NC_000014.9:-:76786641	ENST00000556072.2_1
NC_000014.9:-:104589846	ENST00000556073.1_1
NC_000014.9:-:101555435	ENST00000556120.5_1
NC_000014.9:-:97978059	ENST00000556138.1_1
NC_000014.9:-:87734297	ENST00000556168.1_1
NC_000014.9:+:73787349	ENST00000556194.1_1
NC_000014.9:-:101839530	ENST00000556205.1_1
NC_000014.9:+:44509003	ENST00000556228.1_1
NC_000014.9:+:75127105	ENST00000556236.1_1
NC_000014.9:-:101558852	ENST00000556266.1_1
NC_000014.9:-:76761387	ENST00000556271.1_1
NC_000014.9:-:68628404	ENST00000556301.1_1
NC_000014.9:+:88551584	ENST00000556328.1_1
NC_000014.9:+:103552604	ENST00000556332.1_1
NC_000014.9:+:95573550	ENST00000556346.1_1
NC_000014.9:-:76781745	ENST00000556368.1_1
NC_000014.9:-:74474678	ENST00000556370.1_1
NC_000014.9:-:23954170	ENST00000556379.1_1
NC_000014.9:+:89399957	ENST00000556383.1_1
NC_000014.9:+:95715477	ENST00000556386.1_1
NC_000014.9:-:58395704	ENST00000556390.1_1
NC_000014.9:-:58298114	ENST00000556400.5_1
NC_000014.9:+:104841741	ENST00000556430.1_1
NC_000014.9:-:35447624	ENST00000556448.1_1
NC_000014.9:+:51333511	ENST00000556479.5_1
NC_000014.9:+:22982728	ENST00000556503.5_1
NC_000014.9:-:39175882	ENST00000556537.1_1
NC_000014.9:+:36214320	ENST00000556542.1_1
NC_000014.9:-:64379317	ENST00000556556.1_1
NC_000014.9:+:61570576	ENST00000556569.4_1
NC_000014.9:-:73274798	ENST00000556578.1_1
NC_000014.9:+:39474839	ENST00000556620.1_1
NC_000014.9:+:20783964	ENST00000556624.1_1
NC_000014.9:-:64448768	ENST00000556640.1_1
NC_000014.9:-:70547275	ENST00000556646.1_1
NC_000014.9:+:103875055	ENST00000556653.1_1
NC_000014.9:-:49629889	ENST00000556657.1_1
NC_000014.9:+:37172109	ENST00000556667.1_1
NC_000014.9:+:96741180	ENST00000556669.1_1
NC_000014.9:-:56730549	ENST00000556696.1_1
NC_000014.9:+:50396988	ENST00000556713.1_1
NC_000014.9:+:58398557	ENST00000556734.1_1
NC_000014.9:-:22481287	ENST00000556777.1_1
NC_000014.9:-:77076188	ENST00000556781.1_1
NC_000014.9:-:66509469	ENST00000556874.1_1
NC_000014.9:+:46064150	ENST00000556886.1_1
NC_000014.9:-:49961770	ENST00000556913.1_1
NC_000014.9:-:68685432	ENST00000556919.1_1
NC_000014.9:-:47789942	ENST00000556923.1_1
NC_000014.9:+:89355060	ENST00000556926.1_1
NC_000014.9:+:89350286	ENST00000556942.1_1
NC_000014.9:+:82642621	ENST00000556970.1_1
NC_000014.9:+:101730406	ENST00000556973.1_1
NC_000014.9:-:99978097	ENST00000556978.1_1
NC_000014.9:-:101408249	ENST00000556987.1_1
NC_000014.9:+:53036352	ENST00000556988.1_1
NC_000014.9:+:90642634	ENST00000557007.1_1
NC_000014.9:-:49077504	ENST00000557062.1_1
NC_000014.9:-:41605304	ENST00000557067.1_1
NC_000014.9:-:87573021	ENST00000557070.1_1
NC_000014.9:+:40387558	ENST00000557101.1_1
NC_000014.9:+:101120867	ENST00000557121.1_1
NC_000014.9:+:85934705	ENST00000557195.5_1
NC_000014.9:+:39474839	ENST00000557197.1_1
NC_000014.9:+:104769349	ENST00000557223.1_1
NC_000014.9:-:22557067	ENST00000557232.1_1
NC_000014.9:-:102052700	ENST00000557242.1_1
NC_000014.9:+:56514325	ENST00000557246.1_1
NC_000014.9:+:51750560	ENST00000557308.1_1
NC_000014.9:-:20999162	ENST00000557335.1_1
NC_000014.9:-:69192071	ENST00000557409.1_1
NC_000014.9:-:58286991	ENST00000557412.1_1
NC_000014.9:+:44507366	ENST00000557465.1_1
NC_000014.9:-:44393715	ENST00000557506.1_1
NC_000014.9:-:51328313	ENST00000557518.1_1
NC_000014.9:+:91418244	ENST00000557524.1_1
NC_000014.9:-:77076188	ENST00000557526.1_1
NC_000014.9:+:86905778	ENST00000557527.1_1
NC_000014.9:-:61695840	ENST00000557544.1_1
NC_000014.9:-:102044402	ENST00000557551.1_1
NC_000014.9:-:104138266	ENST00000557610.1_1
NC_000014.9:+:22982728	ENST00000557615.5_1
NC_000014.9:+:60515077	ENST00000557618.1_1
NC_000014.9:-:58298114	ENST00000557660.5_1
NC_000014.9:-:101560391	ENST00000557661.1_1
NC_000014.9:+:92891409	ENST00000557689.1_1
NC_000014.9:+:70809941	ENST00000557691.1_1
NC_000014.9:-:83039601	ENST00000557709.1_1
NC_000014.9:-:44393710	ENST00000557721.1_1
NC_000014.9:+:24595848	ENST00000557736.5_1
NC_000014.9:-:47795091	ENST00000557749.5_1
NC_000014.9:-:81170398	ENST00000557775.1_1
NC_000014.9:-:101731270	ENST00000557778.1_1
NC_000014.9:-:103122933	ENST00000558224.1_1
NC_000014.9:-:75427654	ENST00000558267.1_1
NC_000014.9:-:23988736	ENST00000558423.1_1
NC_000014.9:+:24138916	ENST00000558478.1_1
NC_000014.9:+:75294440	ENST00000558575.1_1
NC_000014.9:-:23934567	ENST00000559615.1_1
NC_000014.9:-:102774790	ENST00000559675.1_1
NC_000014.9:+:102545236	ENST00000559946.1_1
NC_000014.9:-:75427654	ENST00000560419.1_1
NC_000014.9:+:102933799	ENST00000560931.1_1
NC_000014.9:+:75294403	ENST00000561000.1_1
NC_000014.9:+:73462490	ENST00000561382.1_1
NC_000014.9:+:63543612	ENST00000561909.1_1
NC_000014.9:-:57994525	ENST00000563647.1_1
NC_000014.9:-:103332179	ENST00000563989.1_1
NC_000014.9:-:104666177	ENST00000564585.1_1
NC_000014.9:-:91759562	ENST00000565058.2_1
NC_000014.9:+:21384278	ENST00000565098.1_1
NC_000014.9:-:59920370	ENST00000565968.1_1
NC_000014.9:-:96502302	ENST00000569214.1_1
NC_000014.9:-:26595468	ENST00000572358.1_1
NC_000014.9:+:22921034	ENST00000590290.2_1
NC_000014.9:+:77140682	ENST00000600936.1_1
NC_000014.9:+:71219100	ENST00000602396.1_1
NC_000014.9:+:103696326	ENST00000602422.1_1
NC_000014.9:-:50724301	ENST00000602615.1_1
NC_000014.9:+:103693904	ENST00000602669.1_1
NC_000014.9:-:103695049	ENST00000602722.1_1
NC_000014.9:-:74472359	ENST00000602790.1_1
NC_000014.9:+:103687504	ENST00000602827.1_1
NC_000014.9:-:50664005	ENST00000602954.1_1
NC_000014.9:+:106482576	ENST00000603633.2_1
NC_000014.9:+:106206603	ENST00000605005.1_1
NC_000014.9:-:39267082	ENST00000605298.1_1
NC_000014.9:-:65003766	ENST00000606934.1_1
NC_000014.9:+:101948349	ENST00000607414.1_1
NC_000014.9:+:24198433	ENST00000610486.1_1
NC_000014.9:+:23619201	ENST00000610501.1_1
NC_000014.9:+:69617122	ENST00000611191.1_1
NC_000014.9:+:89156743	ENST00000612252.1_1
NC_000014.9:+:53590943	ENST00000612453.1_1
NC_000014.9:-:22598950	ENST00000612576.1_1
NC_000014.9:+:55896547	ENST00000612704.1_1
NC_000014.9:+:45079849	ENST00000613169.1_1
NC_000014.9:-:88822150	ENST00000613917.1_1
NC_000014.9:-:73885554	ENST00000613926.1_1
NC_000014.9:-:56118080	ENST00000614633.1_1
NC_000014.9:+:90383421	ENST00000615251.1_1
NC_000014.9:-:65987446	ENST00000616012.1_1
NC_000014.9:-:70907323	ENST00000616634.1_1
NC_000014.9:-:51638103	ENST00000616999.1_1
NC_000014.9:-:51651754	ENST00000617151.1_1
NC_000014.9:+:88589231	ENST00000617439.1_1
NC_000014.9:-:73633935	ENST00000617980.1_1
NC_000014.9:+:103207749	ENST00000618272.1_1
NC_000014.9:+:81221071	ENST00000618431.1_1
NC_000014.9:+:75176929	ENST00000618460.1_1
NC_000014.9:+:49862997	ENST00000618845.1_1
NC_000014.9:+:96536977	ENST00000618976.1_1
NC_000014.9:-:24202810	ENST00000619226.1_1
NC_000014.9:+:106482576	ENST00000619530.1_1
NC_000014.9:+:63642060	ENST00000620835.1_1
NC_000014.9:-:65412617	ENST00000621019.2_1
NC_000014.9:-:19384586	ENST00000621052.1_1
NC_000014.9:+:69154311	ENST00000622466.1_1
NC_000014.9:+:93334528	ENST00000622847.1_1
NC_000014.9:+:70822007	ENST00000622856.1_1
NC_000014.9:-:105110806	ENST00000623005.1_1
NC_000014.9:+:32879001	ENST00000623195.1_1
NC_000014.9:-:18373751	ENST00000623199.1_1
NC_000014.9:-:18357860	ENST00000623391.1_1
NC_000014.9:+:73580694	ENST00000623547.1_1
NC_000014.9:-:23007122	ENST00000623843.1_1
NC_000014.9:-:41515349	ENST00000624230.1_1
NC_000014.9:+:105370418	ENST00000624831.1_1
NC_000014.9:-:104816004	ENST00000625139.1_1
NC_000014.9:-:49863920	ENST00000634923.1_1
NC_000014.9:-:49864325	ENST00000635177.1_1
NC_000014.9:+:89013397	ENST00000637466.1_1
NC_000014.9:-:94770237	ENST00000238558.4_1
NC_000014.9:-:20802843	ENST00000555698.5_1
NC_000014.9:-:20802865	ENST00000340900.3_1
NC_000014.9:-:20802843	ENST00000397970.4_1
NC_000014.9:-:20802865	ENST00000397967.4_1
NC_000014.9:-:23408272	ENST00000405093.7_1
NC_000013.11:-:50081990	ENST00000235290.7_1
NC_000013.11:+:45387656	ENST00000330825.3_1
NC_000013.11:-:99501271	ENST00000366259.2_1
NC_000013.11:+:45390645	ENST00000379050.2_1
NC_000013.11:+:23888871	ENST00000382133.8_1
NC_000013.11:+:91347686	ENST00000400282.6_1
NC_000013.11:-:40460408	ENST00000400431.2_1
NC_000013.11:+:111595963	ENST00000401043.3_1
NC_000013.11:+:45341433	ENST00000412946.6_1
NC_000013.11:-:42044246	ENST00000413246.1_1
NC_000013.11:+:50807858	ENST00000413510.3_1
NC_000013.11:+:19345062	ENST00000413833.1_1
NC_000013.11:-:38545298	ENST00000414161.1_1
NC_000013.11:-:37484784	ENST00000414480.1_1
NC_000013.11:-:100481219	ENST00000414553.1_1
NC_000013.11:+:113468722	ENST00000414992.5_1
NC_000013.11:+:46052847	ENST00000415033.2_1
NC_000013.11:-:42842886	ENST00000415620.1_1
NC_000013.11:+:23891431	ENST00000417034.1_1
NC_000013.11:-:21378765	ENST00000417513.1_1
NC_000013.11:-:47835989	ENST00000417987.1_1
NC_000013.11:+:18859827	ENST00000418741.1
NC_000013.11:+:113351660	ENST00000419199.1_1
NC_000013.11:+:74231455	ENST00000419499.1_1
NC_000013.11:+:45349395	ENST00000420693.1_1
NC_000013.11:-:30422245	ENST00000420694.1_1
NC_000013.11:+:112106769	ENST00000421423.1_1
NC_000013.11:-:50081990	ENST00000421758.5_1
NC_000013.11:+:19841827	ENST00000422148.2_1
NC_000013.11:+:77828222	ENST00000422405.1_1
NC_000013.11:+:48077160	ENST00000422483.1_1
NC_000013.11:+:111095837	ENST00000422994.1_1
NC_000013.11:+:19674624	ENST00000423023.2_1
NC_000013.11:+:113351660	ENST00000423246.1_1
NC_000013.11:-:54132890	ENST00000423442.6_1
NC_000013.11:+:74419201	ENST00000423629.1_1
NC_000013.11:-:60214945	ENST00000423739.1_1
NC_000013.11:+:48001404	ENST00000423869.1_1
NC_000013.11:-:113128879	ENST00000424635.1_1
NC_000013.11:-:48578087	ENST00000425350.1_1
NC_000013.11:-:50125540	ENST00000425586.5_1
NC_000013.11:+:23498796	ENST00000425800.1_1
NC_000013.11:-:110899176	ENST00000426991.2_1
NC_000013.11:-:54132890	ENST00000427299.6_1
NC_000013.11:-:91131409	ENST00000427717.1_1
NC_000013.11:-:32031696	ENST00000428419.1_1
NC_000013.11:-:77081621	ENST00000428716.2_1
NC_000013.11:+:71015100	ENST00000428761.1_1
NC_000013.11:-:30364283	ENST00000429808.5_1
NC_000013.11:-:99690940	ENST00000430125.1_1
NC_000013.11:+:69311333	ENST00000431686.1_1
NC_000013.11:-:98435839	ENST00000432229.1_1
NC_000013.11:-:44137139	ENST00000432331.1_1
NC_000013.11:+:109310135	ENST00000432575.1_1
NC_000013.11:-:44405972	ENST00000432701.2_1
NC_000013.11:-:50081990	ENST00000433070.6_1
NC_000013.11:+:98577254	ENST00000434547.1_1
NC_000013.11:-:38143231	ENST00000434565.5_1
NC_000013.11:+:45373962	ENST00000434849.2_1
NC_000013.11:-:111144732	ENST00000435037.1_1
NC_000013.11:+:23891431	ENST00000435039.3_1
NC_000013.11:-:77945028	ENST00000435281.1_1
NC_000013.11:-:47907356	ENST00000435617.1_1
NC_000013.11:-:87671168	ENST00000436290.2_1
NC_000013.11:-:45083124	ENST00000437748.2_1
NC_000013.11:+:44143547	ENST00000437867.5_1
NC_000013.11:+:94712716	ENST00000438290.2_1
NC_000013.11:+:109400710	ENST00000439008.1_1
NC_000013.11:-:109201489	ENST00000439299.1_1
NC_000013.11:-:63328128	ENST00000439454.2_1
NC_000013.11:-:34640762	ENST00000440160.1_1
NC_000013.11:+:30881646	ENST00000440633.1_1
NC_000013.11:+:27162373	ENST00000440657.1_1
NC_000013.11:+:31985685	ENST00000441659.1_1
NC_000013.11:+:23418963	ENST00000443092.2_1
NC_000013.11:+:93056657	ENST00000443228.1_1
NC_000013.11:-:19409528	ENST00000443554.1_1
NC_000013.11:-:50081990	ENST00000443587.5_1
NC_000013.11:+:23470092	ENST00000443778.2_1
NC_000013.11:-:30373920	ENST00000444319.1_1
NC_000013.11:-:18719728	ENST00000444605.1
NC_000013.11:+:44142327	ENST00000444663.5_1
NC_000013.11:-:27236810	ENST00000444744.1_1
NC_000013.11:-:112969136	ENST00000446789.2_1
NC_000013.11:-:76014500	ENST00000448806.2_1
NC_000013.11:-:50081990	ENST00000449579.1_1
NC_000013.11:-:63738017	ENST00000451570.1_1
NC_000013.11:+:102367511	ENST00000451630.1_1
NC_000013.11:-:54132890	ENST00000451744.1_1
NC_000013.11:-:38061452	ENST00000451826.1_1
NC_000013.11:-:92719972	ENST00000451897.5_1
NC_000013.11:+:27172124	ENST00000452222.1_1
NC_000013.11:-:30373031	ENST00000452659.5_1
NC_000013.11:+:113475390	ENST00000453584.1_1
NC_000013.11:-:87671118	ENST00000453832.2_1
NC_000013.11:-:97179557	ENST00000453862.1_1
NC_000013.11:-:50910766	ENST00000454605.5_1
NC_000013.11:-:58233116	ENST00000454780.2_1
NC_000013.11:-:100481219	ENST00000455958.5_1
NC_000013.11:+:81043670	ENST00000456588.1_1
NC_000013.11:+:79406290	ENST00000456602.5_1
NC_000013.11:-:64076010	ENST00000456627.1_1
NC_000013.11:+:51804235	ENST00000456688.2_1
NC_000013.11:+:113815608	ENST00000458001.2_1
NC_000013.11:-:50081990	ENST00000458725.5_1
NC_000013.11:-:32432968	ENST00000461502.1_1
NC_000013.11:-:95676938	ENST00000499499.2_1
NC_000013.11:+:45417932	ENST00000506633.1_1
NC_000013.11:+:45341352	ENST00000517509.5_1
NC_000013.11:+:45379236	ENST00000519454.5_1
NC_000013.11:+:45341487	ENST00000520310.5_1
NC_000013.11:+:45382476	ENST00000520432.1_1
NC_000013.11:+:45378573	ENST00000520585.5_1
NC_000013.11:+:45341433	ENST00000520590.5_1
NC_000013.11:+:45341433	ENST00000520622.5_1
NC_000013.11:+:45341591	ENST00000520924.5_1
