#chrom	start	end	name	score	strand	size	num_data	min	max	mean	median
chr11	120039161	120040161	ENST00000319763.1_1	0	+	1000	1000	-9.69	3.88	-0.13	-0.07
chr14	21575320	21576320	ENST00000320322.2_1	0	+	1000	1000	-5.03	3.03	-0.11	-0.02
chr22	23828669	23829669	ENST00000320372.9_1	0	-	1000	1000	-6.80	0.64	-0.11	0.22
chr9	134374964	134375964	ENST00000321081.2_1	0	-	1000	1000	-4.73	6.89	0.84	0.25
chr1	2983844	2984844	ENST00000321336.1_1	0	-	1000	1000	-6.03	4.55	-0.25	-0.10
chr9	98637761	98638761	ENST00000321517.3_1	0	-	1000	1000	-5.56	3.36	-0.01	0.01
chr2	109150157	109151157	ENST00000322353.3_1	0	-	1000	1000	-5.11	2.96	-0.27	-0.14
chr3	149694686	149695686	ENST00000323689.9_1	0	+	1000	1000	-3.22	3.54	0.19	0.12
chr18	657791	658791	ENST00000323813.3_1	0	-	1000	1000	-5.57	7.98	0.08	-0.18
chrY	21039614	21040614	ENST00000324446.3_1	0	-	1000	1000	-3.68	0.65	-0.04	0.31
chr11	70204283	70205283	ENST00000324630.5_1	0	-	1000	1000	-3.99	1.66	-0.12	-0.03
chr21	29385183	29386183	ENST00000324988.3_1	0	+	1000	1000	-4.38	3.73	0.60	0.38
chr22	24890486	24891486	ENST00000326341.8_1	0	-	1000	1000	-6.21	6.10	-0.05	-0.11
chr20	47894679	47895679	ENST00000326677.9_1	0	+	1000	1000	-6.93	5.31	-0.06	-0.03
chr1	752252	753252	ENST00000326734.2_1	0	+	1000	1000	-4.80	1.02	0.02	0.25
chr17	72586142	72587142	ENST00000328023.2_1	0	+	1000	1000	-3.29	1.10	0.03	0.20
chr21	46653755	46654755	ENST00000328344.2_1	0	+	1000	1000	-3.97	2.57	-0.27	-0.16
chr21	40984309	40985309	ENST00000329618.6_1	0	-	1000	1000	-5.97	3.13	-0.24	-0.11
chr22	17639747	17640747	ENST00000329743.3_1	0	+	1000	1000	-6.72	3.60	-0.22	-0.14
chr21	45936939	45937939	ENST00000330490.3_1	0	+	1000	1000	-4.87	1.71	-0.39	-0.24
chr8	37594587	37595587	ENST00000330539.1_1	0	-	1000	1000	-5.46	9.28	0.74	0.28
chr21	46359301	46360301	ENST00000330551.3_1	0	-	1000	1000	-4.95	3.74	-0.15	-0.09
chr13	45961292	45962292	ENST00000330825.3_1	0	+	1000	1000	-3.70	0.78	0.04	0.16
chr12	111373889	111374889	ENST00000331096.2_1	0	+	1000	1000	-4.49	2.92	-0.08	-0.05
chrY	21238746	21239746	ENST00000331787.2_1	0	-	1000	1000	-3.80	2.33	0.16	0.12
chr1	39991015	39992015	ENST00000331856.6_1	0	-	1000	1000	-7.86	9.70	0.34	-0.09
chr2	87754448	87755448	ENST00000331944.10_1	0	+	1000	1000	-6.50	5.27	0.42	0.15
chr17	79282550	79283550	ENST00000332012.5_1	0	-	1000	1000	-5.21	2.91	-0.18	-0.12
chr11	3010594	3011594	ENST00000332881.3_1	0	+	1000	1000	-4.23	2.54	-0.21	-0.11
chr22	42665278	42666278	ENST00000332965.3_1	0	+	1000	1000	-4.32	4.13	0.33	0.21
chr11	67373728	67374728	ENST00000333139.3_1	0	-	1000	1000	-4.88	4.23	0.14	0.03
chr7	156432756	156433756	ENST00000333319.6_1	0	-	1000	1000	-5.03	2.58	-0.62	-0.44
chr5	115027364	115028364	ENST00000333482.4_1	0	-	1000	296	-2.52	0.29	0.04	0.19
chr22	42230169	42231169	ENST00000333487.2_1	0	-	1000	1000	-3.31	3.24	0.06	0.04
chr1	2114651	2115651	ENST00000333854.2_1	0	-	1000	1000	-3.63	1.53	-0.09	0.19
chr17	1619004	1620004	ENST00000334146.7_1	0	-	1000	1000	-6.75	5.83	1.01	0.64
chr21	33947691	33948691	ENST00000334165.4_1	0	-	1000	1000	-4.14	1.12	-0.04	0.23
chr14	56046328	56047328	ENST00000335142.5_1	0	-	1000	1000	-5.55	4.22	0.21	0.16
chr1	258621	259621	ENST00000335577.4_1	0	-	1000	1000	-4.03	1.31	0.15	0.11
chr1	23695192	23696192	ENST00000335648.3_1	0	+	1000	1000	-9.06	4.86	0.32	0.18
chr2	110745547	110746547	ENST00000336905.3_1	0	+	1000	1000	-5.26	6.54	0.99	0.23
chr16	21311705	21312705	ENST00000338573.9_2	0	+	1000	1000	-4.81	3.67	-0.07	-0.03
chr2	177501837	177502837	ENST00000339037.3_1	0	-	1000	1000	-5.25	3.93	0.24	0.17
chr16	15219305	15220305	ENST00000340301.5_1	0	-	1000	1000	-4.83	6.25	0.11	0.10
chr7	39772672	39773672	ENST00000340510.8_1	0	+	1000	1000	-4.58	3.11	-0.16	-0.06
chr5	142910415	142911415	ENST00000340585.6_1	0	-	1000	1000	-3.78	2.77	-0.01	0.22
chr7	64349943	64350943	ENST00000340779.3_1	0	-	1000	1000	-2.57	0.82	0.09	0.22
chr17	41465193	41466193	ENST00000341011.11_1	0	-	1000	1000	-3.58	1.47	-0.13	0.14
chr5	472690	473690	ENST00000342584.3_1	0	-	1000	1000	-5.44	6.33	-0.09	-0.14
chr2	159590989	159591989	ENST00000342892.4_1	0	-	1000	1000	-4.62	2.86	-0.11	-0.04
chr7	5458937	5459937	ENST00000342963.2_1	0	+	1000	1000	-4.14	4.34	-0.16	-0.12
chr3	6548987	6549987	ENST00000342990.3_1	0	+	1000	1000	-4.18	2.93	-0.11	0.01
chr10	52827813	52828813	ENST00000343087.4_1	0	-	1000	1000	-4.34	3.56	0.12	0.10
chr19	11750118	11751118	ENST00000344893.4_1	0	+	1000	1000	-5.24	2.03	-0.31	-0.15
chr2	25643462	25644462	ENST00000352271.6_1	0	+	1000	1000	-3.57	3.27	0.04	0.05
chr14	96129094	96130094	ENST00000352367.10_1	0	+	1000	1000	-4.54	2.45	-0.13	-0.09
chr21	45937025	45938025	ENST00000354333.5_1	0	+	1000	1000	-4.87	1.71	-0.37	-0.24
chr12	2113335	2114335	ENST00000354425.4_1	0	+	1000	1000	-5.89	8.94	0.60	0.07
chr10	89419256	89420256	ENST00000354527.2_1	0	-	1000	1000	-4.42	4.11	0.30	0.12
chr10	91042987	91043987	ENST00000354541.7_1	0	+	1000	1000	-4.54	2.70	0.06	0.11
chr17	17761042	17762042	ENST00000354746.4_1	0	+	1000	1000	-6.45	8.62	0.52	0.20
chr10	8094939	8095939	ENST00000355358.1_1	0	-	1000	1000	-4.32	5.50	0.21	0.09
chr11	111170038	111171038	ENST00000355430.4_1	0	-	1000	1000	-4.83	4.72	0.04	0.02
chr7	30603503	30604503	ENST00000355837.4_1	0	-	1000	992	-4.74	3.03	-0.01	0.00
chr12	66006509	66007509	ENST00000355869.2_1	0	-	1000	1000	-3.85	3.19	0.09	0.07
chr1	160901756	160902756	ENST00000356006.3_1	0	+	1000	1000	-2.46	0.58	0.01	0.06
chr3	28069595	28070595	ENST00000356047.3_1	0	-	1000	1000	-3.41	4.45	0.34	0.21
chr12	66275365	66276365	ENST00000356215.5_1	0	-	1000	1000	-4.99	6.31	0.69	0.35
chr1	213030940	213031940	ENST00000356684.7_1	0	-	1000	1000	-5.07	5.80	-0.10	0.16
chrX	151877247	151878247	ENST00000356911.4	0	-	1000	1000	-4.85	0.80	0.00	0.19
chr14	96116336	96117336	ENST00000357168.6_1	0	+	1000	1000	-3.16	1.06	0.08	0.09
chr21	27777762	27778762	ENST00000357401.3_1	0	+	1000	1000	-3.22	3.27	-0.10	-0.04
chr4	1244000	1245000	ENST00000357591.2_1	0	+	1000	1000	-4.58	1.90	-0.28	-0.19
chr5	95187436	95188436	ENST00000357880.7_1	0	+	1000	1000	-3.73	2.22	-0.03	0.14
chr1	180945152	180946152	ENST00000358073.2_1	0	-	1000	1000	-5.36	7.77	0.25	0.03
chr19	49843086	49844086	ENST00000358234.4_1	0	-	1000	1000	-7.84	4.55	0.46	0.30
chr20	37074815	37075815	ENST00000359074.8_1	0	+	1000	1000	-5.35	3.17	-0.31	-0.12
chr14	64804831	64805831	ENST00000359491.1_1	0	-	1000	1000	-7.15	2.28	-0.64	-0.39
chr6	168226968	168227968	ENST00000359760.5_1	0	-	1000	1000	-5.65	5.57	0.25	0.08
chr2	30121964	30122964	ENST00000359823.2_1	0	+	1000	1000	-4.17	2.62	-0.13	-0.08
chr6	147479562	147480562	ENST00000359838.3_1	0	+	1000	1000	-6.43	3.86	0.20	0.14
chr7	86974320	86975320	ENST00000359941.9_1	0	-	1000	1000	-4.91	3.39	-0.39	-0.24
chr2	214148440	214149440	ENST00000360083.3_1	0	-	1000	1000	-7.15	4.08	-0.03	-0.02
chrX	153656310	153657310	ENST00000360656.2_1	0	-	1000	1000	-5.81	6.58	0.21	0.08
chr22	46481372	46482372	ENST00000360737.4_1	0	+	1000	1000	-6.29	3.85	-0.47	-0.30
chr4	113569355	113570355	ENST00000362188.1_1	0	-	1000	1000	-5.75	6.47	1.38	1.09
chr10	135060888	135061888	ENST00000362219.2_1	0	-	1000	1000	-6.47	7.12	0.16	-0.01
chr20	55689548	55690548	ENST00000366097.2_1	0	+	1000	1000	-4.76	2.10	-0.17	-0.09
chr1	145493391	145494391	ENST00000366105.2_1	0	-	1000	1000	-3.03	2.53	0.10	0.24
chr9	100000490	100001490	ENST00000366109.2_1	0	-	1000	1000	-5.37	2.91	0.12	0.04
chr22	25508178	25509178	ENST00000366110.4_1	0	-	1000	1000	-6.45	8.17	0.71	0.09
chrX	23800574	23801574	ENST00000366134.2_1	0	-	1000	1000	-7.95	8.55	0.83	0.19
chr1	166049920	166050920	ENST00000366136.2_1	0	+	1000	1000	-4.86	3.94	-0.02	0.01
chr1	32538575	32539575	ENST00000366152.3_1	0	-	1000	1000	-5.04	4.15	0.50	0.30
chr7	6703105	6704105	ENST00000366167.2_1	0	+	1000	1000	-7.15	4.40	-0.87	-0.56
chrX	53122833	53123833	ENST00000366185.2_1	0	+	1000	1000	-4.14	3.70	0.31	0.17
chr2	39680483	39681483	ENST00000366187.2_1	0	+	1000	1000	-4.38	3.48	0.25	0.18
chr9	95908815	95909815	ENST00000366188.2_1	0	+	1000	1000	-3.11	2.15	-0.07	0.13
chr5	177378450	177379450	ENST00000366189.3_1	0	+	1000	1000	-4.83	1.50	-0.05	0.20
chr1	1509855	1510855	ENST00000366221.3_2	0	+	1000	1000	-5.00	8.73	0.11	-0.15
chr2	70313622	70314622	ENST00000366234.3	0	-	1000	1000	-3.45	3.54	0.56	0.24
chr10	110321102	110322102	ENST00000366253.2_1	0	-	1000	1000	-3.83	2.60	-0.15	-0.10
chr13	100153026	100154026	ENST00000366259.2_1	0	-	1000	1000	-5.93	4.81	0.35	0.12
chr2	86041497	86042497	ENST00000366278.2_1	0	+	1000	1000	-4.79	3.82	-0.13	-0.09
chr2	55535129	55536129	ENST00000366287.4_1	0	+	1000	1000	-4.04	9.76	1.02	0.25
chr1	246687108	246688108	ENST00000366308.2_1	0	-	1000	1000	-3.18	1.12	0.07	0.19
chr6	10434079	10435079	ENST00000366312.2_1	0	+	1000	1000	-3.87	2.58	-0.15	-0.09
chr3	29683800	29684800	ENST00000366321.2_1	0	-	1000	1000	-6.15	6.75	0.57	0.17
chr11	47536026	47537026	ENST00000366360.2_1	0	-	1000	1000	-4.09	4.19	0.04	0.03
chr17	75084335	75085335	ENST00000366365.2_2	0	+	1000	1000	-6.00	3.41	-0.35	-0.24
chr10	33973190	33974190	ENST00000366376.2_1	0	+	1000	1000	-3.59	2.62	-0.03	0.01
chrX	69385368	69386368	ENST00000366397.3_1	0	-	1000	1000	-4.10	8.68	0.68	0.27
chr1	169055799	169056799	ENST00000366408.3_1	0	-	1000	1000	-5.13	3.61	0.23	0.13
chr2	1628682	1629682	ENST00000366424.2_1	0	-	1000	1000	-4.73	2.64	-0.22	-0.07
chr1	209601665	209602665	ENST00000366437.7_1	0	+	1000	1000	-4.57	5.09	0.16	0.05
chr3	37902759	37903759	ENST00000366441.4_1	0	-	1000	1000	-5.08	4.23	0.41	0.28
chr10	89096173	89097173	ENST00000366446.4_1	0	-	1000	1000	-3.22	1.74	0.20	0.21
chr3	129566334	129567334	ENST00000366451.3_1	0	-	1000	1000	-4.30	1.44	0.17	0.06
chr8	119293973	119294973	ENST00000366457.2_1	0	+	1000	1000	-6.66	3.85	0.12	0.08
chr1	228352702	228353702	ENST00000366713.1_1	0	-	1000	1000	-4.17	4.73	-0.09	-0.05
chr6	159290471	159291471	ENST00000367072.4_1	0	+	1000	1000	-5.65	3.55	-0.13	-0.08
chr6	159290698	159291698	ENST00000367073.5_1	0	+	1000	1000	-4.87	3.55	-0.06	-0.06
chr1	204009849	204010849	ENST00000367207.7_1	0	-	1000	1000	-5.55	4.19	0.16	0.21
chr1	200342740	200343740	ENST00000367355.5_1	0	-	1000	1000	-4.71	4.90	0.59	0.37
chr1	200343305	200344305	ENST00000367356.1_2	0	-	1000	1000	-7.43	4.14	0.09	0.05
chr6	147525241	147526241	ENST00000367477.7_1	0	-	1000	1000	-4.93	8.64	0.95	0.34
chr1	178511436	178512436	ENST00000367638.1_1	0	+	1000	1000	-7.25	3.39	-0.22	-0.11
chr1	173429288	173430288	ENST00000367716.3_1	0	-	1000	1000	-5.53	0.25	0.02	0.22
chr9	127277835	127278835	ENST00000369027.4_1	0	-	1000	1000	-4.59	3.82	0.39	0.25
chr1	150533301	150534301	ENST00000369035.2_1	0	-	1000	1000	-5.63	4.52	0.03	-0.06
chr6	105584662	105585662	ENST00000369120.2_1	0	+	1000	1000	-5.03	3.87	0.06	0.07
chr6	105585063	105586063	ENST00000369122.7_1	0	+	1000	1000	-5.03	3.55	-0.07	-0.02
chr6	105387809	105388809	ENST00000369123.3_2	0	-	1000	1000	-5.22	3.32	0.26	0.15
chr10	114711247	114712247	ENST00000369391.3_1	0	-	1000	1000	-4.40	7.80	1.27	0.67
chr6	86387951	86388951	ENST00000369605.8_1	0	-	1000	1000	-10.83	3.64	-0.23	-0.16
chr10	111765297	111766297	ENST00000369655.3_1	0	-	1000	1000	-6.52	4.96	1.04	0.83
chr10	104591792	104592792	ENST00000369884.4_1	0	+	1000	1000	-4.14	9.41	0.63	0.03
chr20	61990358	61991358	ENST00000370257.1_1	0	+	1000	1000	-6.58	9.62	0.10	-0.23
chrX	151921935	151922935	ENST00000370292.3	0	+	1000	1000	-5.05	0.92	-0.27	-0.15
chr20	61150188	61151188	ENST00000370523.1_1	0	+	1000	1000	-7.37	7.51	0.25	0.06
chrX	139791424	139792424	ENST00000370535.7_1	0	+	1000	1000	-3.68	4.34	0.59	0.35
chr1	85100262	85101262	ENST00000370624.1_1	0	-	1000	1000	-6.43	2.31	0.06	0.03
chr1	64012254	64013254	ENST00000371086.3_1	0	+	1000	1000	-4.77	3.50	0.17	0.12
chr2	111995443	111996443	ENST00000371162.4_1	0	-	1000	1000	-5.69	3.51	-0.19	-0.11
chr9	140512778	140513778	ENST00000371417.3_1	0	-	1000	1000	-4.89	2.66	-0.06	-0.01
chr20	48908757	48909757	ENST00000371639.7_1	0	+	1000	1000	-4.42	4.88	0.40	0.11
chr20	47894406	47895406	ENST00000371743.7_1	0	+	1000	1000	-6.93	4.01	-0.22	-0.04
chr9	137544189	137545189	ENST00000371813.4_1	0	-	1000	1000	-5.20	3.17	-0.18	-0.14
chr12	8340582	8341582	ENST00000372173.5_1	0	+	1000	1000	-3.39	0.83	0.02	0.20
chr9	131938128	131939128	ENST00000372490.3_1	0	+	1000	1000	-2.85	8.35	1.65	1.39
chr1	36788913	36789913	ENST00000373137.2_1	0	+	1000	1000	-5.39	4.93	0.13	0.08
chr6	40345576	40346576	ENST00000373170.2_1	0	+	1000	1000	-5.46	3.15	-0.51	-0.32
chr6	40313390	40314390	ENST00000373171.2_1	0	-	1000	1000	-5.01	4.23	0.08	0.02
chr8	61572764	61573764	ENST00000373384.4_1	0	+	1000	1000	-4.96	3.55	-0.14	-0.10
chr9	105281419	105282419	ENST00000374801.3_1	0	+	1000	1000	-3.01	1.33	0.02	0.14
chr17	76274169	76275169	ENST00000374945.1_1	0	-	1000	1000	-6.20	3.81	-0.17	-0.10
chr10	29134838	29135838	ENST00000375520.4_1	0	+	1000	1000	-5.22	2.71	-0.03	-0.02
chr20	26034792	26035792	ENST00000376398.6_1	0	+	1000	1000	-3.65	0.23	-0.07	0.20
chr20	25731334	25732334	ENST00000376445.3_1	0	+	1000	1000	-3.44	0.46	0.06	0.16
chr7	99728072	99729072	ENST00000376482.3_1	0	+	1000	1000	-2.59	1.57	-0.02	0.11
chr2	111871262	111872262	ENST00000376593.2_1	0	-	1000	1000	-3.96	2.97	0.04	0.02
chr17	47922557	47923557	ENST00000376609.1_1	0	+	1000	1000	-3.72	4.14	0.14	0.08
chr12	132851507	132852507	ENST00000376617.3_1	0	+	1000	1000	-4.19	0.86	-0.08	-0.06
chrX	48432773	48433773	ENST00000376775.3_1	0	-	1000	1000	-5.65	7.54	0.32	0.02
chr6	29942371	29943371	ENST00000376800.7_1	0	+	1000	1000	-5.35	2.55	-0.14	-0.08
chr9	72790279	72791279	ENST00000377178.3_1	0	-	1000	1000	-3.70	3.05	0.11	0.26
chr6	28911046	28912046	ENST00000377186.3_1	0	+	1000	1000	-9.69	2.24	-0.26	-0.13
chr5	174422468	174423468	ENST00000377300.3_1	0	-	1000	1000	-2.45	1.96	0.10	0.04
chr9	46687584	46688584	ENST00000377518.3_1	0	-	1000	1000	-2.46	0.40	0.00	0.06
chr9	45002617	45003617	ENST00000377547.3_1	0	-	1000	1000	-4.14	3.77	0.30	0.16
chr9	44866993	44867993	ENST00000377548.2_1	0	+	1000	1000	-4.74	5.33	0.77	0.39
chr10	17428450	17429450	ENST00000377597.6_1	0	+	1000	1000	-3.63	2.51	-0.07	0.21
chr9	38620549	38621549	ENST00000377680.3_1	0	+	1000	1000	-5.15	1.67	-0.03	0.00
chrX	46758638	46759638	ENST00000377879.7_1	0	-	1000	1000	-3.75	2.90	0.21	0.13
chr2	65663319	65664319	ENST00000377977.3_1	0	+	1000	1000	-5.49	4.48	0.64	0.43
chr11	71919763	71920763	ENST00000378140.3_1	0	-	1000	1000	-3.29	0.32	0.11	0.27
chr19	40780329	40781329	ENST00000378432.1_1	0	-	1000	1000	-5.91	3.03	-0.24	-0.12
chr13	45964281	45965281	ENST00000379050.2_1	0	+	1000	1000	-2.00	6.50	2.54	2.11
chr20	5484742	5485742	ENST00000379053.4_1	0	-	1000	1000	-6.54	2.97	-0.24	-0.12
chr10	11361576	11362576	ENST00000379256.3_1	0	-	1000	1000	-4.09	3.74	-0.00	0.02
chr1	1114447	1115447	ENST00000379317.1_1	0	-	1000	1000	-4.57	4.68	-0.13	-0.09
chr2	27938099	27939099	ENST00000379677.2_1	0	-	1000	1000	-6.08	5.26	0.22	0.00
chr6	7275765	7276765	ENST00000379928.4_1	0	+	1000	1000	-3.58	3.22	-0.05	0.07
chr16	50647092	50648092	ENST00000379963.1_1	0	-	1000	1000	-4.74	5.93	0.60	0.31
chr6	4610325	4611325	ENST00000380106.2_1	0	+	1000	1000	-4.61	3.77	-0.11	-0.09
chr21	40984218	40985218	ENST00000380604.7_1	0	-	1000	1000	-5.97	3.13	-0.26	-0.14
chr21	40984218	40985218	ENST00000380612.8_1	0	-	1000	1000	-5.97	3.13	-0.26	-0.14
chr22	51021053	51022053	ENST00000380711.3_1	0	+	1000	1000	-5.88	4.44	-0.30	-0.16
chr14	85995886	85996886	ENST00000380722.2_1	0	-	1000	1000	-3.47	5.72	0.93	0.66
chr20	29522655	29523655	ENST00000380888.4_1	0	-	1000	1000	-4.55	3.70	0.38	0.21
chr22	46449210	46450210	ENST00000381051.6_1	0	+	1000	1000	-6.75	4.67	1.02	0.80
chrX	3856232	3857232	ENST00000381105.2_1	0	-	1000	1000	-4.14	2.03	0.36	0.29
chrX	3838308	3839308	ENST00000381106.4_1	0	-	1000	1000	-3.70	1.79	0.05	0.19
chrX	3781115	3782115	ENST00000381108.3_1	0	-	1000	1000	-3.36	3.28	0.24	0.11
chr21	35320723	35321723	ENST00000381181.1_1	0	+	1000	1000	-3.75	4.38	0.12	0.06
chr11	2161259	2162259	ENST00000381361.4_1	0	+	1000	1000	-3.56	4.63	0.39	0.28
chr10	1033769	1034769	ENST00000381466.2_1	0	-	1000	1000	-6.77	7.70	-0.17	-0.25
chr1	147931558	147932558	ENST00000381475.3	0	-	1000	1000	-3.29	6.70	1.47	1.05
chr2	10281015	10282015	ENST00000381786.7_1	0	+	1000	1000	-5.14	2.09	-0.22	-0.09
chr3	139258155	139259155	ENST00000381790.3_1	0	+	1000	1000	-5.61	8.58	0.42	0.12
chr12	12509437	12510437	ENST00000381800.3_1	0	-	1000	1000	-5.68	7.25	0.26	0.06
chr2	6909942	6910942	ENST00000382045.3_1	0	-	1000	1000	-5.80	2.84	-0.43	-0.27
chr13	24462511	24463511	ENST00000382133.8_1	0	+	1000	1000	-6.44	7.36	-0.03	-0.07
chr12	7260689	7261689	ENST00000382215.3_1	0	+	1000	1000	-4.99	4.76	0.18	0.03
chr1	152220188	152221188	ENST00000382265.3_1	0	+	1000	1000	-5.51	2.49	-0.26	-0.12
chr16	2790277	2791277	ENST00000382313.2_1	0	-	1000	1000	-4.76	2.99	-0.27	-0.19
chr21	34143961	34144961	ENST00000382375.8_1	0	+	1000	1000	-4.61	7.15	0.04	0.01
chr21	34143961	34144961	ENST00000382378.5_1	0	+	1000	1000	-4.61	7.15	0.04	0.01
chr4	8508055	8509055	ENST00000382488.2_1	0	+	1000	1000	-4.99	1.46	-0.24	-0.13
chr22	27068120	27069120	ENST00000382641.1_1	0	-	1000	1000	-4.90	4.37	0.05	-0.01
chr18	53857663	53858663	ENST00000382897.2_1	0	-	1000	1000	-4.58	4.18	0.23	0.14
chr3	129036450	129037450	ENST00000383461.6_1	0	+	1000	1000	-6.20	2.08	-0.29	-0.14
chr3	10052302	10053302	ENST00000383808.6_1	0	-	1000	1000	-3.00	1.36	0.10	0.09
chr1	209605071	209606071	ENST00000384891.1_1	0	+	1000	1000	-5.11	6.79	0.36	0.06
chr15	89910410	89911410	ENST00000385084.1_1	0	+	1000	1000	-7.03	8.74	1.30	0.63
chr20	26188413	26189413	ENST00000385250.1_1	0	-	1000	1000	-3.97	1.43	-0.14	0.08
chr19	13946759	13947759	ENST00000386972.1_1	0	-	1000	1000	-4.44	7.39	0.99	0.20
chr16	67649549	67650549	ENST00000388909.5_2	0	-	1000	1000	-3.76	3.76	0.13	0.08
chr20	26037535	26038535	ENST00000389261.3_1	0	+	1000	1000	-4.96	0.23	-0.26	0.17
chr10	63211884	63212884	ENST00000389640.4_1	0	+	1000	1000	-5.99	6.25	0.47	0.10
chr1	151762810	151763810	ENST00000389897.3_1	0	+	1000	1000	-8.95	4.53	-0.11	-0.06
chrX	14006439	14007439	ENST00000391359.2_1	0	-	1000	1000	-4.15	2.55	0.09	0.04
chrY	231226	232226	ENST00000391707.7_1_PAR_Y	0	+	1000	625	-3.45	0.19	-0.10	0.16
chrX	281226	282226	ENST00000391707.7_1	0	+	1000	625	-3.34	0.19	-0.12	0.17
chr1	169454879	169455879	ENST00000392097.4_1	0	+	1000	1000	-8.02	8.86	-0.06	-0.09
chr19	35596684	35597684	ENST00000392227.2_1	0	-	1000	1000	-6.12	6.67	0.13	0.02
chr6	153551918	153552918	ENST00000392385.2_1	0	+	1000	1000	-5.05	4.48	0.03	-0.02
chr7	100106546	100107546	ENST00000392471.2_1	0	+	1000	1000	-2.51	1.29	0.13	0.19
chr2	135675728	135676728	ENST00000392929.6_1	0	-	1000	1000	-5.38	9.20	1.01	0.23
chr22	49968573	49969573	ENST00000393264.2_1	0	-	1000	1000	-5.46	2.86	-0.42	-0.31
chr11	43410821	43411821	ENST00000394183.2_1	0	+	1000	1000	-3.95	9.82	1.12	0.31
chr12	8972809	8973809	ENST00000394240.3_1	0	-	1000	1000	-4.24	0.34	0.02	0.20
chr12	13099555	13100555	ENST00000394742.3_1	0	+	1000	1000	-4.86	3.36	0.07	0.12
chr11	5645583	5646583	ENST00000394793.2_1	0	-	1000	1000	-4.06	3.09	-0.17	-0.11
chr10	75012041	75013041	ENST00000394864.2_1	0	+	1000	1000	-7.40	3.88	-0.43	-0.22
chr3	50276551	50277551	ENST00000395152.3_1	0	+	1000	1000	-5.31	2.95	-0.09	-0.04
