ENST00000493797.1_1	RP11-34P13.14	ENST00000423372.3	AL627309.1
ENST00000412228.1_1	RP1-140A9.1	ENST00000610897.4_1	GNB1
ENST00000412228.1_1	RP1-140A9.1	ENST00000615252.4_1	GNB1
ENST00000445600.1_1	RP11-547D24.3	ENST00000378567.7_1	PRKCZ
ENST00000445600.1_1	RP11-547D24.3	ENST00000468310.5_1	PRKCZ
ENST00000445600.1_1	RP11-547D24.3	ENST00000484419.1_1	PRKCZ
ENST00000449154.1_1	RP11-547D24.3	ENST00000378567.7_1	PRKCZ
ENST00000449154.1_1	RP11-547D24.3	ENST00000468310.5_1	PRKCZ
ENST00000449154.1_1	RP11-547D24.3	ENST00000484419.1_1	PRKCZ
ENST00000449154.1_1	RP11-547D24.3	ENST00000503297.1_1	PRKCZ
ENST00000606533.1_1	RP5-892K4.1	ENST00000479263.5_1	PRKCZ
ENST00000606533.1_1	RP5-892K4.1	ENST00000503672.1_1	PRKCZ
ENST00000606533.1_1	RP5-892K4.1	ENST00000478770.6_1	PRKCZ
ENST00000442483.2_1	RP11-181G12.4	ENST00000420964.1_1	FAAP20
ENST00000442483.2_1	RP11-181G12.4	ENST00000487186.5_1	FAAP20
ENST00000607720.1_1	RP4-713A8.1	ENST00000600779.1	AL589739.1
ENST00000416860.2_2	RP3-395M20.8	ENST00000409119.5_1	TNFRSF14
ENST00000416860.2_2	RP3-395M20.8	ENST00000355716.4_1	TNFRSF14
ENST00000416860.2_2	RP3-395M20.8	ENST00000475523.5_1	TNFRSF14
ENST00000416860.2_2	RP3-395M20.8	ENST00000442392.6_1	TNFRSF14
ENST00000416860.2_2	RP3-395M20.8	ENST00000482074.6_1	TNFRSF14
ENST00000416860.2_2	RP3-395M20.8	ENST00000496064.5_1	TNFRSF14
ENST00000416860.2_2	RP3-395M20.8	ENST00000463471.6_1	TNFRSF14
ENST00000416860.2_2	RP3-395M20.8	ENST00000466750.5_1	TNFRSF14
ENST00000452793.1_1	RP3-395M20.8	ENST00000409119.5_1	TNFRSF14
ENST00000452793.1_1	RP3-395M20.8	ENST00000355716.4_1	TNFRSF14
ENST00000452793.1_1	RP3-395M20.8	ENST00000475523.5_1	TNFRSF14
ENST00000452793.1_1	RP3-395M20.8	ENST00000442392.6_1	TNFRSF14
ENST00000452793.1_1	RP3-395M20.8	ENST00000482074.6_1	TNFRSF14
ENST00000452793.1_1	RP3-395M20.8	ENST00000496064.5_1	TNFRSF14
ENST00000452793.1_1	RP3-395M20.8	ENST00000463471.6_1	TNFRSF14
ENST00000452793.1_1	RP3-395M20.8	ENST00000466750.5_1	TNFRSF14
ENST00000427302.1_1	RP13-436F16.1	ENST00000511099.1_1	MMEL1
ENST00000427302.1_1	RP13-436F16.1	ENST00000378412.7_1	MMEL1
ENST00000445317.1_1	LINC00982	ENST00000511072.5_1	PRDM16
ENST00000445317.1_1	LINC00982	ENST00000607632.1_1	PRDM16
ENST00000445317.1_1	LINC00982	ENST00000378391.6_1	PRDM16
ENST00000445317.1_1	LINC00982	ENST00000270722.9_1	PRDM16
ENST00000445317.1_1	LINC00982	ENST00000514189.5_1	PRDM16
ENST00000435049.1_1	RP11-46F15.2	ENST00000378344.6_1	TPRG1L
ENST00000435049.1_1	RP11-46F15.2	ENST00000344579.5_1	TPRG1L
ENST00000607459.1_1	RP1-286D6.5	ENST00000479239.1_1	LRRC47
ENST00000607459.1_1	RP1-286D6.5	ENST00000462356.5_1	LRRC47
ENST00000413332.5_1	LINC01134	ENST00000486765.5_1	C1orf174
ENST00000413332.5_1	LINC01134	ENST00000361605.3_1	C1orf174
ENST00000413332.5_1	LINC01134	ENST00000474140.1_1	C1orf174
ENST00000442673.1_1	LINC01134	ENST00000486765.5_1	C1orf174
ENST00000442673.1_1	LINC01134	ENST00000361605.3_1	C1orf174
ENST00000442673.1_1	LINC01134	ENST00000474140.1_1	C1orf174
ENST00000439488.1_1	LINC01134	ENST00000486765.5_1	C1orf174
ENST00000439488.1_1	LINC01134	ENST00000361605.3_1	C1orf174
ENST00000439488.1_1	LINC01134	ENST00000474140.1_1	C1orf174
ENST00000455744.1_1	RP1-120G22.11	ENST00000466994.5_1	RNF207
ENST00000455744.1_1	RP1-120G22.11	ENST00000484435.1_1	RNF207
ENST00000455744.1_1	RP1-120G22.11	ENST00000377939.4_1	RNF207
ENST00000441724.1_1	LINC00337	ENST00000343813.9_1	ICMT
ENST00000441724.1_1	LINC00337	ENST00000474756.1_1	ICMT
ENST00000441724.1_1	LINC00337	ENST00000489498.5_1	ICMT
ENST00000607670.1_1	RP1-202O8.3	ENST00000377860.8_1	ACOT7
ENST00000607670.1_1	RP1-202O8.3	ENST00000418124.5_1	ACOT7
ENST00000607670.1_1	RP1-202O8.3	ENST00000608083.5_1	ACOT7
ENST00000607670.1_1	RP1-202O8.3	ENST00000545482.5_1	ACOT7
ENST00000607670.1_1	RP1-202O8.3	ENST00000361521.8_1	ACOT7
ENST00000419034.1_1	RP1-202O8.2	ENST00000632803.1_1	ESPN
ENST00000419034.1_1	RP1-202O8.2	ENST00000632593.1_1	ESPN
ENST00000442889.1_1	RP11-312B8.1	ENST00000303635.11_1	CAMTA1
ENST00000442889.1_1	RP11-312B8.1	ENST00000490738.5_1	CAMTA1
ENST00000442889.1_1	RP11-312B8.1	ENST00000476163.5_1	CAMTA1
ENST00000442889.1_1	RP11-312B8.1	ENST00000473578.5_1	CAMTA1
ENST00000442889.1_1	RP11-312B8.1	ENST00000557126.5_1	CAMTA1
ENST00000442889.1_1	RP11-312B8.1	ENST00000467404.6_1	CAMTA1
ENST00000442889.1_1	RP11-312B8.1	ENST00000461311.1_1	CAMTA1
ENST00000602406.1_1	RP3-467L1.6	ENST00000487194.1_1	VAMP3
ENST00000445300.1_1	RP11-431K24.1	ENST00000474874.5_1	ERRFI1
ENST00000445300.1_1	RP11-431K24.1	ENST00000469499.5_1	ERRFI1
ENST00000445300.1_1	RP11-431K24.1	ENST00000487559.1_1	ERRFI1
ENST00000445300.1_1	RP11-431K24.1	ENST00000377482.9_1	ERRFI1
ENST00000449895.5_1	RP5-1115A15.1	ENST00000476556.5_2	RERE
ENST00000449895.5_1	RP5-1115A15.1	ENST00000492766.5_1	RERE
ENST00000449895.5_1	RP5-1115A15.1	ENST00000465125.1_1	RERE
ENST00000449895.5_1	RP5-1115A15.1	ENST00000488215.5_2	RERE
ENST00000444276.1_1	RP5-1115A15.1	ENST00000488215.5_2	RERE
ENST00000414948.1_1	ENO1-IT1	ENST00000497492.1_1	ENO1
ENST00000414948.1_1	ENO1-IT1	ENST00000492343.1_1	ENO1
ENST00000414948.1_1	ENO1-IT1	ENST00000486051.5_1	ENO1
ENST00000414948.1_1	ENO1-IT1	ENST00000234590.8_1	ENO1
ENST00000442636.1_1	ENO1-AS1	ENST00000497492.1_1	ENO1
ENST00000442636.1_1	ENO1-AS1	ENST00000492343.1_1	ENO1
ENST00000442636.1_1	ENO1-AS1	ENST00000486051.5_1	ENO1
ENST00000442636.1_1	ENO1-AS1	ENST00000234590.8_1	ENO1
ENST00000442636.1_1	ENO1-AS1	ENST00000489867.1_2	ENO1
ENST00000415330.2_1	PIK3CD-AS2	ENST00000484851.1_1	PIK3CD
ENST00000445884.1_1	RP11-84A14.4	ENST00000400903.6_1	LZIC
ENST00000445884.1_1	RP11-84A14.4	ENST00000377223.5_1	LZIC
ENST00000445884.1_1	RP11-84A14.4	ENST00000377213.1_1	LZIC
ENST00000445884.1_1	RP11-84A14.4	ENST00000377205.5_1	NMNAT1
ENST00000445884.1_1	RP11-84A14.4	ENST00000403197.5_1	NMNAT1
ENST00000445884.1_1	RP11-84A14.4	ENST00000462686.1_1	NMNAT1
ENST00000445884.1_1	RP11-84A14.4	ENST00000492735.1_1	NMNAT1
ENST00000607572.1_1	RP4-736L20.3	ENST00000400900.6_1	APITD1-CORT
ENST00000607572.1_1	RP4-736L20.3	ENST00000470413.6_2	APITD1-CORT
ENST00000607572.1_1	RP4-736L20.3	ENST00000602787.6_1	APITD1-CORT
ENST00000607572.1_1	RP4-736L20.3	ENST00000309048.7_1	APITD1
ENST00000607572.1_1	RP4-736L20.3	ENST00000602486.1_1	APITD1
ENST00000607572.1_1	RP4-736L20.3	ENST00000477755.1_1	APITD1
ENST00000607572.1_1	RP4-736L20.3	ENST00000602296.6_2	APITD1-CORT
ENST00000607572.1_1	RP4-736L20.3	ENST00000462462.1_1	APITD1
ENST00000607572.1_1	RP4-736L20.3	ENST00000465026.1_2	APITD1-CORT
ENST00000606802.1_1	RP4-734G22.3	ENST00000478524.1_1	CASZ1
ENST00000452378.1_1	RP4-635E18.7	ENST00000490565.1_1	EXOSC10
ENST00000435388.1_1	RP4-635E18.6	ENST00000460196.1_1	EXOSC10
ENST00000435388.1_1	RP4-635E18.6	ENST00000304457.11_1	EXOSC10
ENST00000435388.1_1	RP4-635E18.6	ENST00000376936.8_1	EXOSC10
ENST00000447600.1_1	RP4-635E18.6	ENST00000460196.1_1	EXOSC10
ENST00000447600.1_1	RP4-635E18.6	ENST00000304457.11_1	EXOSC10
ENST00000447600.1_1	RP4-635E18.6	ENST00000376936.8_1	EXOSC10
ENST00000420480.1_1	MTOR-AS1	ENST00000495435.1_1	MTOR
ENST00000376620.3_1	RP11-56N19.5	ENST00000444493.5_1	C1orf167
ENST00000376620.3_1	RP11-56N19.5	ENST00000449278.1_1	C1orf167
ENST00000563570.1_1	RP4-597A16.2	ENST00000376085.3_1	LRRC38
ENST00000404665.3_1	TMEM51-AS1	ENST00000428417.5_1	TMEM51
ENST00000404665.3_1	TMEM51-AS1	ENST00000376014.7_1	TMEM51
ENST00000404665.3_1	TMEM51-AS1	ENST00000451326.6_1	TMEM51
ENST00000310916.6_1	TMEM51-AS1	ENST00000428417.5_1	TMEM51
ENST00000310916.6_1	TMEM51-AS1	ENST00000376014.7_1	TMEM51
ENST00000310916.6_1	TMEM51-AS1	ENST00000451326.6_1	TMEM51
ENST00000427824.1_1	RP3-467K16.4	ENST00000375980.8_1	EFHD2
ENST00000427824.1_1	RP3-467K16.4	ENST00000445566.1_1	EFHD2
ENST00000606186.1_1	RP4-680D5.8	ENST00000479655.1_1	DNAJC16
ENST00000453804.1_1	RP11-288I21.1	ENST00000294454.5_1	SLC25A34
ENST00000453804.1_1	RP11-288I21.1	ENST00000489568.1_1	SLC25A34
ENST00000317122.2_1	FLJ37453	ENST00000375759.7_1	SPEN
ENST00000424774.1_1	RP11-276H7.2	ENST00000461614.1_1	EPHA2
ENST00000424774.1_1	RP11-276H7.2	ENST00000358432.7_1	EPHA2
ENST00000446261.1_1	RP1-37C10.3	ENST00000375534.7_2	MFAP2
ENST00000446261.1_1	RP1-37C10.3	ENST00000478684.5_1	MFAP2
ENST00000446261.1_1	RP1-37C10.3	ENST00000492598.1_1	MFAP2
ENST00000437898.1_1	RP1-43E13.2	ENST00000375254.7_1	UBR4
ENST00000416470.1_1	RP5-1056L3.1	ENST00000617872.4_1	MINOS1
ENST00000416470.1_1	RP5-1056L3.1	ENST00000602662.1_2	MINOS1-NBL1
ENST00000416470.1_1	RP5-1056L3.1	ENST00000486890.5_1	MINOS1
ENST00000416470.1_1	RP5-1056L3.1	ENST00000322753.6_1	MINOS1
ENST00000416470.1_1	RP5-1056L3.1	ENST00000498067.1_1	MINOS1
ENST00000416470.1_1	RP5-1056L3.1	ENST00000462646.5_1	MINOS1
ENST00000416470.1_1	RP5-1056L3.1	ENST00000467029.5_1	MINOS1
ENST00000416470.1_1	RP5-1056L3.1	ENST00000481464.5_1	MINOS1
ENST00000416470.1_1	RP5-1056L3.1	ENST00000498642.5_1	MINOS1
ENST00000416470.1_1	RP5-1056L3.1	ENST00000479642.1_1	MINOS1
ENST00000416470.1_1	RP5-1056L3.1	ENST00000602293.5_2	MINOS1-NBL1
ENST00000416470.1_1	RP5-1056L3.1	ENST00000602384.5_2	MINOS1-NBL1
ENST00000416470.1_1	RP5-1056L3.1	ENST00000602450.1_2	MINOS1-NBL1
ENST00000416470.1_1	RP5-1056L3.1	ENST00000485362.1_1	MINOS1
ENST00000454736.1_1	RP11-91K11.2	ENST00000375121.3_1	RNF186
ENST00000442226.1_1	UBXN10-AS1	ENST00000375099.3_1	UBXN10
ENST00000451424.1_1	PINK1-AS	ENST00000475210.1_1	DDOST
ENST00000436642.1_1	RP5-930J4.2	ENST00000447746.6_2	SH2D5
ENST00000436642.1_1	RP5-930J4.2	ENST00000444387.6_2	SH2D5
ENST00000436642.1_1	RP5-930J4.2	ENST00000375031.5_1	SH2D5
ENST00000436642.1_1	RP5-930J4.2	ENST00000460804.5_1	SH2D5
ENST00000436642.1_1	RP5-930J4.2	ENST00000518294.5_2	SH2D5
ENST00000458053.4_1	ZNF436-AS1	ENST00000374608.3_1	ZNF436
ENST00000458053.4_1	ZNF436-AS1	ENST00000314011.8_1	ZNF436
ENST00000454117.1_1	ZNF436-AS1	ENST00000374608.3_1	ZNF436
ENST00000454117.1_1	ZNF436-AS1	ENST00000314011.8_1	ZNF436
ENST00000335648.3_1	ZNF436-AS1	ENST00000374608.3_1	ZNF436
ENST00000335648.3_1	ZNF436-AS1	ENST00000314011.8_1	ZNF436
ENST00000518821.1_1	ZNF436-AS1	ENST00000374608.3_1	ZNF436
ENST00000518821.1_1	ZNF436-AS1	ENST00000314011.8_1	ZNF436
ENST00000437367.3_1	ZNF436-AS1	ENST00000374608.3_1	ZNF436
ENST00000437367.3_1	ZNF436-AS1	ENST00000314011.8_1	ZNF436
ENST00000427796.5_1	TCEB3-AS1	ENST00000246151.8_1	PITHD1
ENST00000429191.1_1	RP11-293P20.4	ENST00000338909.9_1	MYOM3
ENST00000577528.1_1	RP4-594I10.3	ENST00000374392.2_1	NCMAP
ENST00000607698.1_1	RP3-465N24.6	ENST00000431849.3_1	RSRP1
ENST00000607698.1_1	RP3-465N24.6	ENST00000498238.1_1	RSRP1
ENST00000607698.1_1	RP3-465N24.6	ENST00000568212.1_1	RSRP1
ENST00000607698.1_1	RP3-465N24.6	ENST00000568254.5_1	RSRP1
ENST00000607698.1_1	RP3-465N24.6	ENST00000243189.11_1	RSRP1
ENST00000453649.1_1	RP1-317E23.3	ENST00000374303.6_1	MTFR1L
ENST00000453649.1_1	RP1-317E23.3	ENST00000533762.5_2	MTFR1L
ENST00000453649.1_1	RP1-317E23.3	ENST00000474295.5_1	MTFR1L
ENST00000453649.1_1	RP1-317E23.3	ENST00000529116.5_2	MTFR1L
ENST00000453649.1_1	RP1-317E23.3	ENST00000488327.6_2	MTFR1L
ENST00000453649.1_1	RP1-317E23.3	ENST00000472643.5_2	MTFR1L
ENST00000453649.1_1	RP1-317E23.3	ENST00000494293.1_1	MTFR1L
ENST00000453649.1_1	RP1-317E23.3	ENST00000469815.5_1	MTFR1L
ENST00000453649.1_1	RP1-317E23.3	ENST00000526894.5_1	MTFR1L
ENST00000453649.1_1	RP1-317E23.3	ENST00000478284.5_1	MTFR1L
ENST00000453649.1_1	RP1-317E23.3	ENST00000524618.5_1	MTFR1L
ENST00000453649.1_1	RP1-317E23.3	ENST00000374307.9_1	MTFR1L
ENST00000453649.1_1	RP1-317E23.3	ENST00000528624.5_1	MTFR1L
ENST00000453649.1_1	RP1-317E23.3	ENST00000374301.7_1	MTFR1L
ENST00000453649.1_1	RP1-317E23.3	ENST00000525713.5_2	MTFR1L
ENST00000453649.1_1	RP1-317E23.3	ENST00000464008.6_1	MTFR1L
ENST00000453649.1_1	RP1-317E23.3	ENST00000526158.5_2	MTFR1L
ENST00000442055.5_1	RP1-317E23.3	ENST00000374303.6_1	MTFR1L
ENST00000442055.5_1	RP1-317E23.3	ENST00000533762.5_2	MTFR1L
ENST00000442055.5_1	RP1-317E23.3	ENST00000474295.5_1	MTFR1L
ENST00000442055.5_1	RP1-317E23.3	ENST00000529116.5_2	MTFR1L
ENST00000442055.5_1	RP1-317E23.3	ENST00000488327.6_2	MTFR1L
ENST00000442055.5_1	RP1-317E23.3	ENST00000472643.5_2	MTFR1L
ENST00000442055.5_1	RP1-317E23.3	ENST00000494293.1_1	MTFR1L
ENST00000442055.5_1	RP1-317E23.3	ENST00000469815.5_1	MTFR1L
ENST00000442055.5_1	RP1-317E23.3	ENST00000526894.5_1	MTFR1L
ENST00000442055.5_1	RP1-317E23.3	ENST00000478284.5_1	MTFR1L
ENST00000442055.5_1	RP1-317E23.3	ENST00000524618.5_1	MTFR1L
ENST00000442055.5_1	RP1-317E23.3	ENST00000374307.9_1	MTFR1L
ENST00000442055.5_1	RP1-317E23.3	ENST00000528624.5_1	MTFR1L
ENST00000442055.5_1	RP1-317E23.3	ENST00000374301.7_1	MTFR1L
ENST00000442055.5_1	RP1-317E23.3	ENST00000525713.5_2	MTFR1L
ENST00000442055.5_1	RP1-317E23.3	ENST00000464008.6_1	MTFR1L
ENST00000442055.5_1	RP1-317E23.3	ENST00000526158.5_2	MTFR1L
ENST00000442055.5_1	RP1-317E23.3	ENST00000530599.5_1	MTFR1L
ENST00000536896.2_1	RP1-317E23.3	ENST00000374303.6_1	MTFR1L
ENST00000536896.2_1	RP1-317E23.3	ENST00000533762.5_2	MTFR1L
ENST00000536896.2_1	RP1-317E23.3	ENST00000474295.5_1	MTFR1L
ENST00000536896.2_1	RP1-317E23.3	ENST00000529116.5_2	MTFR1L
ENST00000536896.2_1	RP1-317E23.3	ENST00000488327.6_2	MTFR1L
ENST00000536896.2_1	RP1-317E23.3	ENST00000472643.5_2	MTFR1L
ENST00000536896.2_1	RP1-317E23.3	ENST00000494293.1_1	MTFR1L
ENST00000536896.2_1	RP1-317E23.3	ENST00000469815.5_1	MTFR1L
ENST00000536896.2_1	RP1-317E23.3	ENST00000526894.5_1	MTFR1L
ENST00000536896.2_1	RP1-317E23.3	ENST00000478284.5_1	MTFR1L
ENST00000536896.2_1	RP1-317E23.3	ENST00000524618.5_1	MTFR1L
ENST00000536896.2_1	RP1-317E23.3	ENST00000374307.9_1	MTFR1L
ENST00000536896.2_1	RP1-317E23.3	ENST00000528624.5_1	MTFR1L
ENST00000536896.2_1	RP1-317E23.3	ENST00000374301.7_1	MTFR1L
ENST00000536896.2_1	RP1-317E23.3	ENST00000525713.5_2	MTFR1L
ENST00000536896.2_1	RP1-317E23.3	ENST00000464008.6_1	MTFR1L
ENST00000536896.2_1	RP1-317E23.3	ENST00000526158.5_2	MTFR1L
ENST00000536896.2_1	RP1-317E23.3	ENST00000530599.5_1	MTFR1L
ENST00000536896.2_1	RP1-317E23.3	ENST00000374300.7_1	MTFR1L
ENST00000536896.2_1	RP1-317E23.3	ENST00000466284.1_1	MTFR1L
ENST00000455431.1_1	RP1-125I3.2	ENST00000374298.3_1	AUNIP
ENST00000455431.1_1	RP1-125I3.2	ENST00000538789.5_1	AUNIP
ENST00000569378.1_1	RP5-968P14.2	ENST00000430799.7_2	ARID1A
ENST00000425205.1_1	RP11-40H20.4	ENST00000319394.7_1	WDTC1
ENST00000425205.1_1	RP11-40H20.4	ENST00000361771.7_1	WDTC1
ENST00000602607.1_1	RP3-426I6.5	ENST00000373943.8_1	STX12
ENST00000602607.1_1	RP3-426I6.5	ENST00000440806.2_1	STX12
ENST00000602607.1_1	RP3-426I6.5	ENST00000468761.1_1	STX12
ENST00000448015.1_1	RP11-460I13.2	ENST00000373884.5_1	XKR8
ENST00000413987.1_1	SNHG3	ENST00000398958.6_1	RCC1
ENST00000413987.1_1	SNHG3	ENST00000427469.5_1	RCC1
ENST00000413987.1_1	SNHG3	ENST00000434290.5_1	RCC1
ENST00000413987.1_1	SNHG3	ENST00000373833.10_1	RCC1
ENST00000447507.1_1	SNHG3	ENST00000398958.6_1	RCC1
ENST00000447507.1_1	SNHG3	ENST00000427469.5_1	RCC1
ENST00000447507.1_1	SNHG3	ENST00000434290.5_1	RCC1
ENST00000447507.1_1	SNHG3	ENST00000373833.10_1	RCC1
ENST00000437681.1_1	SNHG3	ENST00000398958.6_1	RCC1
ENST00000437681.1_1	SNHG3	ENST00000427469.5_1	RCC1
ENST00000437681.1_1	SNHG3	ENST00000434290.5_1	RCC1
ENST00000437681.1_1	SNHG3	ENST00000373833.10_1	RCC1
ENST00000420776.1_1	RP11-442N24__B.1	ENST00000263974.4_1	TAF12
ENST00000420776.1_1	RP11-442N24__B.1	ENST00000373824.8_1	TAF12
ENST00000420776.1_1	RP11-442N24__B.1	ENST00000495422.1_1	TAF12
ENST00000427046.1_1	RP11-467D18.2	ENST00000464915.1_1	MECR
ENST00000414532.6_1	MATN1-AS1	ENST00000477320.1_1	MATN1
