#chrom	start	end	name	score	strand	size	num_data	min	max	mean	median
chr2	109150557	109150757	ENST00000322353.3_1	0	-	200	200	0.00	0.30	0.02	0.00
chr3	149695086	149695286	ENST00000323689.9_1	0	+	200	200	0.00	0.97	0.04	0.00
chr18	658191	658391	ENST00000323813.3_1	0	-	200	200	0.00	0.63	0.02	0.00
chrY	21040014	21040214	ENST00000324446.3_1	0	-	200	200	0.00	0.34	0.05	0.01
chr11	70204683	70204883	ENST00000324630.5_1	0	-	200	200	0.00	0.03	0.00	0.00
chr21	29385583	29385783	ENST00000324988.3_1	0	+	200	200	0.00	1.00	0.67	0.91
chr22	24890886	24891086	ENST00000326341.8_1	0	-	200	200	0.00	0.05	0.00	0.00
chr20	47895079	47895279	ENST00000326677.9_1	0	+	200	200	0.00	1.00	0.14	0.00
chr1	752652	752852	ENST00000326734.2_1	0	+	200	200	0.00	0.16	0.06	0.05
chr17	72586542	72586742	ENST00000328023.2_1	0	+	200	200	0.00	0.09	0.02	0.01
chr21	46654155	46654355	ENST00000328344.2_1	0	+	200	200	0.00	0.04	0.00	0.00
chr21	40984709	40984909	ENST00000329618.6_1	0	-	200	200	0.00	1.00	0.12	0.00
chr22	17640147	17640347	ENST00000329743.3_1	0	+	200	200	0.00	1.00	0.14	0.00
chr21	45937339	45937539	ENST00000330490.3_1	0	+	200	200	0.00	0.03	0.00	0.00
chr8	37594987	37595187	ENST00000330539.1_1	0	-	200	200	0.00	1.00	0.53	0.71
chr21	46359701	46359901	ENST00000330551.3_1	0	-	200	200	0.00	0.94	0.04	0.00
chr13	45961692	45961892	ENST00000330825.3_1	0	+	200	200	0.00	0.30	0.05	0.00
chr12	111374289	111374489	ENST00000331096.2_1	0	+	200	200	0.00	0.10	0.01	0.00
chrY	21239146	21239346	ENST00000331787.2_1	0	-	200	200	0.00	1.00	0.39	0.23
chr1	39991415	39991615	ENST00000331856.6_1	0	-	200	200	0.00	1.00	0.27	0.00
chr2	87754848	87755048	ENST00000331944.10_1	0	+	200	200	0.00	1.00	0.87	1.00
chr17	79282950	79283150	ENST00000332012.5_1	0	-	200	200	0.00	0.39	0.03	0.00
chr11	3010994	3011194	ENST00000332881.3_1	0	+	200	200	0.00	0.26	0.01	0.00
chr22	42665678	42665878	ENST00000332965.3_1	0	+	200	200	0.00	1.00	0.35	0.02
chr11	67374128	67374328	ENST00000333139.3_1	0	-	200	200	0.00	1.00	0.09	0.00
chr7	156433156	156433356	ENST00000333319.6_1	0	-	200	200	0.00	0.07	0.00	0.00
chr5	115027764	115027964	ENST00000333482.4_1	0	-	200	2	0.00	0.00	0.00	0.00
chr22	42230569	42230769	ENST00000333487.2_1	0	-	200	200	0.00	0.98	0.10	0.00
chr1	2115051	2115251	ENST00000333854.2_1	0	-	200	200	0.00	0.12	0.01	0.01
chr17	1619404	1619604	ENST00000334146.7_1	0	-	200	200	0.00	1.00	0.84	1.00
chr21	33948091	33948291	ENST00000334165.4_1	0	-	200	200	0.00	0.44	0.05	0.01
chr14	56046728	56046928	ENST00000335142.5_1	0	-	200	200	0.00	1.00	0.35	0.01
chr1	259021	259221	ENST00000335577.4_1	0	-	200	200	0.00	0.70	0.11	0.02
chr1	23695592	23695792	ENST00000335648.3_1	0	+	200	200	0.00	0.91	0.04	0.00
chr2	110745947	110746147	ENST00000336905.3_1	0	+	200	200	0.00	1.00	0.31	0.11
chr16	21312105	21312305	ENST00000338573.9_2	0	+	200	200	0.00	0.08	0.00	0.00
chr2	177502237	177502437	ENST00000339037.3_1	0	-	200	200	0.00	1.00	0.29	0.02
chr16	15219705	15219905	ENST00000340301.5_1	0	-	200	200	0.00	0.09	0.00	0.00
chr7	39773072	39773272	ENST00000340510.8_1	0	+	200	200	0.00	0.72	0.04	0.00
chr5	142910815	142911015	ENST00000340585.6_1	0	-	200	200	0.00	0.61	0.04	0.00
chr7	64350343	64350543	ENST00000340779.3_1	0	-	200	200	0.00	0.62	0.19	0.06
chr17	41465593	41465793	ENST00000341011.11_1	0	-	200	200	0.00	0.43	0.04	0.00
chr5	473090	473290	ENST00000342584.3_1	0	-	200	200	0.00	1.00	0.52	0.62
chr2	159591389	159591589	ENST00000342892.4_1	0	-	200	200	0.00	0.94	0.03	0.00
chr7	5459337	5459537	ENST00000342963.2_1	0	+	200	200	0.00	1.00	0.36	0.02
chr3	6549387	6549587	ENST00000342990.3_1	0	+	200	200	0.00	0.08	0.02	0.01
chr10	52828213	52828413	ENST00000343087.4_1	0	-	200	200	0.00	0.40	0.01	0.00
chr19	11750518	11750718	ENST00000344893.4_1	0	+	200	200	0.00	0.99	0.06	0.00
chr2	25643862	25644062	ENST00000352271.6_1	0	+	200	200	0.00	0.78	0.04	0.00
chr14	96129494	96129694	ENST00000352367.10_1	0	+	200	200	0.00	0.02	0.00	0.00
chr21	45937425	45937625	ENST00000354333.5_1	0	+	200	200	0.00	0.03	0.00	0.00
chr12	2113735	2113935	ENST00000354425.4_1	0	+	200	200	0.00	1.00	0.12	0.00
chr10	89419656	89419856	ENST00000354527.2_1	0	-	200	200	0.00	1.00	0.24	0.00
chr10	91043387	91043587	ENST00000354541.7_1	0	+	200	200	0.00	0.56	0.04	0.00
chr17	17761442	17761642	ENST00000354746.4_1	0	+	200	200	0.00	0.24	0.01	0.00
chr10	8095339	8095539	ENST00000355358.1_1	0	-	200	200	0.00	1.00	0.38	0.02
chr11	111170438	111170638	ENST00000355430.4_1	0	-	200	200	0.00	1.00	0.16	0.00
chr7	30603903	30604103	ENST00000355837.4_1	0	-	200	200	0.00	1.00	0.14	0.00
chr12	66006909	66007109	ENST00000355869.2_1	0	-	200	200	0.00	0.06	0.00	0.00
chr1	160902156	160902356	ENST00000356006.3_1	0	+	200	200	0.00	0.57	0.14	0.07
chr3	28069995	28070195	ENST00000356047.3_1	0	-	200	200	0.00	1.00	0.35	0.01
chr12	66275765	66275965	ENST00000356215.5_1	0	-	200	200	0.00	1.00	0.49	0.39
chr1	213031340	213031540	ENST00000356684.7_1	0	-	200	200	0.00	1.00	0.06	0.00
chrX	151877647	151877847	ENST00000356911.4	0	-	200	200	0.00	0.24	0.07	0.05
chr14	96116736	96116936	ENST00000357168.6_1	0	+	200	200	0.11	0.77	0.37	0.32
chr21	27778162	27778362	ENST00000357401.3_1	0	+	200	200	0.00	0.10	0.00	0.00
chr4	1244400	1244600	ENST00000357591.2_1	0	+	200	200	0.00	0.01	0.00	0.00
chr5	95187836	95188036	ENST00000357880.7_1	0	+	200	200	0.00	0.25	0.08	0.05
chr1	180945552	180945752	ENST00000358073.2_1	0	-	200	200	0.00	1.00	0.31	0.01
chr19	49843486	49843686	ENST00000358234.4_1	0	-	200	200	0.00	1.00	0.45	0.09
chr20	37075215	37075415	ENST00000359074.8_1	0	+	200	200	0.00	1.00	0.05	0.00
chr14	64805231	64805431	ENST00000359491.1_1	0	-	200	200	0.00	0.01	0.00	0.00
chr6	168227368	168227568	ENST00000359760.5_1	0	-	200	200	0.00	0.46	0.02	0.00
chr2	30122364	30122564	ENST00000359823.2_1	0	+	200	200	0.00	0.03	0.01	0.00
chr6	147479962	147480162	ENST00000359838.3_1	0	+	200	200	0.00	0.94	0.12	0.00
chr7	86974720	86974920	ENST00000359941.9_1	0	-	200	200	0.00	0.83	0.06	0.00
chr2	214148840	214149040	ENST00000360083.3_1	0	-	200	200	0.00	1.00	0.13	0.00
chrX	153656710	153656910	ENST00000360656.2_1	0	-	200	200	0.00	1.00	0.08	0.00
chr22	46481772	46481972	ENST00000360737.4_1	0	+	200	200	0.00	1.00	0.19	0.00
chr4	113569755	113569955	ENST00000362188.1_1	0	-	200	200	0.00	1.00	0.39	0.01
chr10	135061288	135061488	ENST00000362219.2_1	0	-	200	200	0.00	1.00	0.15	0.00
chr20	55689948	55690148	ENST00000366097.2_1	0	+	200	200	0.00	0.04	0.00	0.00
chr1	145493791	145493991	ENST00000366105.2_1	0	-	200	200	0.00	0.96	0.10	0.01
chr9	100000890	100001090	ENST00000366109.2_1	0	-	200	200	0.00	1.00	0.30	0.00
chr22	25508578	25508778	ENST00000366110.4_1	0	-	200	200	0.00	1.00	0.10	0.00
chrX	23800974	23801174	ENST00000366134.2_1	0	-	200	200	0.00	1.00	0.11	0.00
chr1	166050320	166050520	ENST00000366136.2_1	0	+	200	200	0.00	1.00	0.22	0.01
chr1	32538975	32539175	ENST00000366152.3_1	0	-	200	200	0.00	1.00	0.21	0.00
chr7	6703505	6703705	ENST00000366167.2_1	0	+	200	200	0.00	0.20	0.00	0.00
chrX	53123233	53123433	ENST00000366185.2_1	0	+	200	200	0.00	1.00	0.24	0.01
chr2	39680883	39681083	ENST00000366187.2_1	0	+	200	200	0.00	0.19	0.02	0.00
chr9	95909215	95909415	ENST00000366188.2_1	0	+	200	200	0.00	0.14	0.01	0.00
chr5	177378850	177379050	ENST00000366189.3_1	0	+	200	200	0.00	0.12	0.04	0.03
chr1	1510255	1510455	ENST00000366221.3_2	0	+	200	200	0.00	0.44	0.01	0.00
chr2	70314022	70314222	ENST00000366234.3	0	-	200	200	0.00	1.00	0.54	0.84
chr10	110321502	110321702	ENST00000366253.2_1	0	-	200	200	0.00	0.01	0.00	0.00
chr13	100153426	100153626	ENST00000366259.2_1	0	-	200	200	0.00	1.00	0.14	0.00
chr2	86041897	86042097	ENST00000366278.2_1	0	+	200	200	0.00	0.03	0.00	0.00
chr2	55535529	55535729	ENST00000366287.4_1	0	+	200	200	0.00	1.00	0.12	0.00
chr1	246687508	246687708	ENST00000366308.2_1	0	-	200	200	0.00	0.81	0.13	0.04
chr6	10434479	10434679	ENST00000366312.2_1	0	+	200	200	0.00	0.11	0.00	0.00
chr3	29684200	29684400	ENST00000366321.2_1	0	-	200	200	0.00	0.95	0.02	0.00
chr11	47536426	47536626	ENST00000366360.2_1	0	-	200	200	0.00	0.80	0.07	0.00
chr17	75084735	75084935	ENST00000366365.2_2	0	+	200	200	0.00	0.03	0.00	0.00
chr10	33973590	33973790	ENST00000366376.2_1	0	+	200	200	0.00	0.41	0.02	0.00
chrX	69385768	69385968	ENST00000366397.3_1	0	-	200	200	0.00	1.00	0.45	0.11
chr1	169056199	169056399	ENST00000366408.3_1	0	-	200	200	0.00	1.00	0.14	0.00
chr2	1629082	1629282	ENST00000366424.2_1	0	-	200	200	0.00	0.02	0.00	0.00
chr1	209602065	209602265	ENST00000366437.7_1	0	+	200	200	0.00	1.00	0.48	0.29
chr3	37903159	37903359	ENST00000366441.4_1	0	-	200	200	0.00	1.00	0.49	0.43
chr10	89096573	89096773	ENST00000366446.4_1	0	-	200	200	0.00	0.63	0.09	0.02
chr3	129566734	129566934	ENST00000366451.3_1	0	-	200	200	0.00	0.79	0.15	0.05
chr8	119294373	119294573	ENST00000366457.2_1	0	+	200	200	0.00	0.19	0.01	0.00
chr1	228353102	228353302	ENST00000366713.1_1	0	-	200	200	0.00	0.01	0.00	0.00
chr6	159290871	159291071	ENST00000367072.4_1	0	+	200	200	0.00	1.00	0.07	0.00
chr6	159291098	159291298	ENST00000367073.5_1	0	+	200	200	0.00	0.59	0.02	0.00
chr1	204010249	204010449	ENST00000367207.7_1	0	-	200	200	0.00	1.00	0.54	0.58
chr1	200343140	200343340	ENST00000367355.5_1	0	-	200	200	0.00	1.00	0.40	0.09
chr1	200343705	200343905	ENST00000367356.1_2	0	-	200	200	0.00	0.09	0.00	0.00
chr6	147525641	147525841	ENST00000367477.7_1	0	-	200	200	0.00	1.00	0.86	1.00
chr1	178511836	178512036	ENST00000367638.1_1	0	+	200	200	0.00	0.10	0.00	0.00
chr1	173429688	173429888	ENST00000367716.3_1	0	-	200	200	0.00	0.10	0.03	0.02
chr9	127278235	127278435	ENST00000369027.4_1	0	-	200	200	0.00	1.00	0.32	0.01
chr1	150533701	150533901	ENST00000369035.2_1	0	-	200	200	0.00	0.29	0.01	0.00
chr6	105585062	105585262	ENST00000369120.2_1	0	+	200	200	0.00	1.00	0.16	0.00
chr6	105585463	105585663	ENST00000369122.7_1	0	+	200	200	0.00	0.03	0.00	0.00
chr6	105388209	105388409	ENST00000369123.3_2	0	-	200	200	0.00	0.79	0.05	0.00
chr10	114711647	114711847	ENST00000369391.3_1	0	-	200	200	0.00	1.00	0.69	0.98
chr6	86388351	86388551	ENST00000369605.8_1	0	-	200	200	0.00	1.00	0.19	0.00
chr10	111765697	111765897	ENST00000369655.3_1	0	-	200	200	0.00	1.00	0.52	0.65
chr10	104592192	104592392	ENST00000369884.4_1	0	+	200	200	0.00	1.00	0.52	0.64
chr20	61990758	61990958	ENST00000370257.1_1	0	+	200	200	0.00	1.00	0.29	0.00
chrX	151922335	151922535	ENST00000370292.3	0	+	200	200	0.00	0.19	0.02	0.00
chr20	61150588	61150788	ENST00000370523.1_1	0	+	200	200	0.00	0.18	0.01	0.00
chrX	139791824	139792024	ENST00000370535.7_1	0	+	200	200	0.00	1.00	0.45	0.34
chr1	85100662	85100862	ENST00000370624.1_1	0	-	200	200	0.00	0.02	0.00	0.00
chr1	64012654	64012854	ENST00000371086.3_1	0	+	200	200	0.00	0.99	0.12	0.00
chr2	111995843	111996043	ENST00000371162.4_1	0	-	200	200	0.00	0.02	0.00	0.00
chr9	140513178	140513378	ENST00000371417.3_1	0	-	200	200	0.00	1.00	0.10	0.00
chr20	48909157	48909357	ENST00000371639.7_1	0	+	200	200	0.00	1.00	0.78	1.00
chr20	47894806	47895006	ENST00000371743.7_1	0	+	200	200	0.00	1.00	0.12	0.00
chr9	137544589	137544789	ENST00000371813.4_1	0	-	200	200	0.00	0.96	0.04	0.00
chr12	8340982	8341182	ENST00000372173.5_1	0	+	200	200	0.00	0.48	0.08	0.05
chr9	131938528	131938728	ENST00000372490.3_1	0	+	200	200	0.00	1.00	0.77	1.00
chr1	36789313	36789513	ENST00000373137.2_1	0	+	200	200	0.00	1.00	0.19	0.00
chr6	40345976	40346176	ENST00000373170.2_1	0	+	200	200	0.00	1.00	0.12	0.00
chr6	40313790	40313990	ENST00000373171.2_1	0	-	200	200	0.00	0.06	0.00	0.00
chr8	61573164	61573364	ENST00000373384.4_1	0	+	200	200	0.00	1.00	0.14	0.00
chr9	105281819	105282019	ENST00000374801.3_1	0	+	200	200	0.00	0.42	0.06	0.01
chr17	76274569	76274769	ENST00000374945.1_1	0	-	200	200	0.00	0.55	0.02	0.00
chr10	29135238	29135438	ENST00000375520.4_1	0	+	200	200	0.00	0.85	0.05	0.00
chr20	26035192	26035392	ENST00000376398.6_1	0	+	200	200	0.00	0.48	0.08	0.03
chr20	25731734	25731934	ENST00000376445.3_1	0	+	200	200	0.00	0.29	0.05	0.03
chr7	99728472	99728672	ENST00000376482.3_1	0	+	200	200	0.00	0.64	0.07	0.01
chr2	111871662	111871862	ENST00000376593.2_1	0	-	200	200	0.00	0.48	0.01	0.00
chr17	47922957	47923157	ENST00000376609.1_1	0	+	200	200	0.00	0.03	0.00	0.00
chr12	132851907	132852107	ENST00000376617.3_1	0	+	200	200	0.00	0.33	0.06	0.02
chrX	48433173	48433373	ENST00000376775.3_1	0	-	200	200	0.00	1.00	0.34	0.00
chr6	29942771	29942971	ENST00000376800.7_1	0	+	200	200	0.00	0.19	0.01	0.00
chr9	72790679	72790879	ENST00000377178.3_1	0	-	200	200	0.00	0.71	0.04	0.00
chr6	28911446	28911646	ENST00000377186.3_1	0	+	200	200	0.00	1.00	0.17	0.00
chr5	174422868	174423068	ENST00000377300.3_1	0	-	200	200	0.00	1.00	0.40	0.04
chr9	46687984	46688184	ENST00000377518.3_1	0	-	200	200	0.05	0.31	0.19	0.22
chr9	45003017	45003217	ENST00000377547.3_1	0	-	200	200	0.00	1.00	0.15	0.00
chr9	44867393	44867593	ENST00000377548.2_1	0	+	200	200	0.00	1.00	0.28	0.01
chr10	17428850	17429050	ENST00000377597.6_1	0	+	200	200	0.00	0.17	0.02	0.01
chr9	38620949	38621149	ENST00000377680.3_1	0	+	200	200	0.00	0.33	0.03	0.01
chrX	46759038	46759238	ENST00000377879.7_1	0	-	200	200	0.00	0.50	0.05	0.00
chr2	65663719	65663919	ENST00000377977.3_1	0	+	200	200	0.00	1.00	0.45	0.14
chr11	71920163	71920363	ENST00000378140.3_1	0	-	200	200	0.00	0.60	0.15	0.04
chr19	40780729	40780929	ENST00000378432.1_1	0	-	200	200	0.00	0.26	0.01	0.00
chr13	45964681	45964881	ENST00000379050.2_1	0	+	200	200	0.14	1.00	0.99	1.00
chr20	5485142	5485342	ENST00000379053.4_1	0	-	200	200	0.00	1.00	0.13	0.00
chr10	11361976	11362176	ENST00000379256.3_1	0	-	200	200	0.00	1.00	0.14	0.00
chr1	1114847	1115047	ENST00000379317.1_1	0	-	200	200	0.00	1.00	0.12	0.00
chr2	27938499	27938699	ENST00000379677.2_1	0	-	200	200	0.00	1.00	0.46	0.01
chr6	7276165	7276365	ENST00000379928.4_1	0	+	200	200	0.00	1.00	0.10	0.00
chr16	50647492	50647692	ENST00000379963.1_1	0	-	200	200	0.00	1.00	0.88	1.00
chr6	4610725	4610925	ENST00000380106.2_1	0	+	200	200	0.00	0.68	0.06	0.00
chr21	40984618	40984818	ENST00000380604.7_1	0	-	200	200	0.00	1.00	0.09	0.00
chr21	40984618	40984818	ENST00000380612.8_1	0	-	200	200	0.00	1.00	0.09	0.00
chr22	51021453	51021653	ENST00000380711.3_1	0	+	200	200	0.00	0.05	0.00	0.00
chr14	85996286	85996486	ENST00000380722.2_1	0	-	200	200	0.00	1.00	0.64	0.91
chr20	29523055	29523255	ENST00000380888.4_1	0	-	200	200	0.00	0.98	0.08	0.00
chr22	46449610	46449810	ENST00000381051.6_1	0	+	200	200	0.00	1.00	0.75	1.00
chrX	3856632	3856832	ENST00000381105.2_1	0	-	200	200	0.06	1.00	0.87	0.97
chrX	3838708	3838908	ENST00000381106.4_1	0	-	200	200	0.00	0.32	0.03	0.00
chrX	3781515	3781715	ENST00000381108.3_1	0	-	200	200	0.00	1.00	0.76	1.00
chr21	35321123	35321323	ENST00000381181.1_1	0	+	200	200	0.00	0.65	0.05	0.00
chr11	2161659	2161859	ENST00000381361.4_1	0	+	200	200	0.00	1.00	0.13	0.00
chr10	1034169	1034369	ENST00000381466.2_1	0	-	200	200	0.00	1.00	0.12	0.00
chr1	147931958	147932158	ENST00000381475.3	0	-	200	200	0.01	1.00	0.94	1.00
chr2	10281415	10281615	ENST00000381786.7_1	0	+	200	200	0.00	0.14	0.01	0.00
chr3	139258555	139258755	ENST00000381790.3_1	0	+	200	200	0.00	1.00	0.14	0.00
chr12	12509837	12510037	ENST00000381800.3_1	0	-	200	200	0.00	1.00	0.23	0.00
chr2	6910342	6910542	ENST00000382045.3_1	0	-	200	200	0.00	0.01	0.00	0.00
chr13	24462911	24463111	ENST00000382133.8_1	0	+	200	200	0.00	0.01	0.00	0.00
chr12	7261089	7261289	ENST00000382215.3_1	0	+	200	200	0.00	0.09	0.00	0.00
chr1	152220588	152220788	ENST00000382265.3_1	0	+	200	200	0.00	0.10	0.00	0.00
chr16	2790677	2790877	ENST00000382313.2_1	0	-	200	200	0.00	0.11	0.00	0.00
chr21	34144361	34144561	ENST00000382375.8_1	0	+	200	200	0.00	1.00	0.22	0.00
chr21	34144361	34144561	ENST00000382378.5_1	0	+	200	200	0.00	1.00	0.22	0.00
chr4	8508455	8508655	ENST00000382488.2_1	0	+	200	200	0.00	0.17	0.01	0.00
chr22	27068520	27068720	ENST00000382641.1_1	0	-	200	200	0.00	0.62	0.02	0.00
chr18	53858063	53858263	ENST00000382897.2_1	0	-	200	200	0.00	1.00	0.54	0.85
chr3	129036850	129037050	ENST00000383461.6_1	0	+	200	200	0.00	0.13	0.00	0.00
chr3	10052702	10052902	ENST00000383808.6_1	0	-	200	200	0.00	0.56	0.07	0.03
chr1	209605471	209605671	ENST00000384891.1_1	0	+	200	200	0.00	1.00	0.46	0.03
chr15	89910810	89911010	ENST00000385084.1_1	0	+	200	200	0.00	1.00	0.67	0.99
chr20	26188813	26189013	ENST00000385250.1_1	0	-	200	200	0.00	0.12	0.02	0.00
chr19	13947159	13947359	ENST00000386972.1_1	0	-	200	200	0.00	1.00	0.53	0.66
chr16	67649949	67650149	ENST00000388909.5_2	0	-	200	200	0.00	0.54	0.02	0.00
chr20	26037935	26038135	ENST00000389261.3_1	0	+	200	200	0.00	0.04	0.01	0.00
chr10	63212284	63212484	ENST00000389640.4_1	0	+	200	200	0.00	1.00	0.06	0.00
chr1	151763210	151763410	ENST00000389897.3_1	0	+	200	200	0.00	1.00	0.16	0.00
chrX	14006839	14007039	ENST00000391359.2_1	0	-	200	200	0.00	0.98	0.06	0.00
chrY	231626	231826	ENST00000391707.7_1_PAR_Y	0	+	200	200	0.00	0.06	0.02	0.02
chrX	281626	281826	ENST00000391707.7_1	0	+	200	200	0.00	0.03	0.01	0.01
chr1	169455279	169455479	ENST00000392097.4_1	0	+	200	200	0.00	1.00	0.03	0.00
chr19	35597084	35597284	ENST00000392227.2_1	0	-	200	200	0.00	1.00	0.23	0.00
chr6	153552318	153552518	ENST00000392385.2_1	0	+	200	200	0.00	1.00	0.24	0.00
chr7	100106946	100107146	ENST00000392471.2_1	0	+	200	200	0.00	1.00	0.49	0.45
chr2	135676128	135676328	ENST00000392929.6_1	0	-	200	200	0.00	1.00	0.41	0.10
chr22	49968973	49969173	ENST00000393264.2_1	0	-	200	200	0.00	0.04	0.00	0.00
chr11	43411221	43411421	ENST00000394183.2_1	0	+	200	200	0.00	1.00	0.76	1.00
chr12	8973209	8973409	ENST00000394240.3_1	0	-	200	200	0.00	0.28	0.08	0.04
chr12	13099955	13100155	ENST00000394742.3_1	0	+	200	200	0.00	1.00	0.11	0.00
chr11	5645983	5646183	ENST00000394793.2_1	0	-	200	200	0.00	1.00	0.07	0.00
chr10	75012441	75012641	ENST00000394864.2_1	0	+	200	200	0.00	0.08	0.00	0.00
chr3	50276951	50277151	ENST00000395152.3_1	0	+	200	200	0.00	1.00	0.10	0.00
chr8	144120564	144120764	ENST00000395172.5_1	0	+	200	200	0.00	0.20	0.04	0.02
chrX	118602955	118603155	ENST00000395539.2_1	0	-	200	200	0.00	1.00	0.28	0.00
chr11	32457068	32457268	ENST00000395900.1	0	+	200	200	0.00	1.00	0.59	0.99
chr2	228189786	228189986	ENST00000396588.6_1	0	-	200	200	0.00	1.00	0.25	0.00
chr5	81287715	81287915	ENST00000396880.3_1	0	+	200	200	0.00	0.59	0.11	0.03
chr2	178257319	178257519	ENST00000397057.6_1	0	-	200	200	0.00	1.00	0.86	1.00
chr21	37732417	37732617	ENST00000397184.2_1	0	+	200	200	0.00	1.00	0.45	0.10
chr10	5987768	5987968	ENST00000397264.4_1	0	-	200	200	0.00	0.04	0.00	0.00
chr19	15939708	15939908	ENST00000397381.4_1	0	+	200	200	0.00	0.12	0.03	0.02
chr7	154720114	154720314	ENST00000397551.6_1	0	+	200	200	0.00	0.17	0.03	0.03
chr7	116593850	116594050	ENST00000397750.7_1	0	+	200	200	0.00	0.33	0.01	0.00
chr21	46359752	46359952	ENST00000397841.5_1	0	-	200	200	0.00	0.94	0.04	0.00
chr9	83486110	83486310	ENST00000397864.2_1	0	-	200	200	0.00	0.61	0.06	0.02
chr7	77325483	77325683	ENST00000398043.2_1	0	-	200	200	0.00	1.00	0.12	0.00
chr17	44270866	44271066	ENST00000398275.4_1	0	+	200	200	0.00	1.00	0.71	0.97
chr14	101299427	101299627	ENST00000398461.5_1	0	+	200	200	0.00	0.04	0.00	0.00
chr14	101296870	101297070	ENST00000398474.7_1	0	+	200	200	0.00	1.00	0.38	0.14
chr17	37775767	37775967	ENST00000398554.1_1	0	+	200	200	0.00	0.37	0.01	0.00
chr4	62009302	62009502	ENST00000398777.3_1	0	+	200	200	0.00	0.98	0.14	0.00
chr1	44173709	44173909	ENST00000398804.7_1	0	-	200	200	0.00	0.99	0.11	0.00
chr17	30470091	30470291	ENST00000398832.2_1	0	-	200	200	0.00	1.00	0.39	0.08
